Date,tickers,weights,return,risk
2019-10-01,"['ALLE', 'DVA', 'BXP', 'ICE', 'RMD', 'MKC', 'WBD', 'GS', 'MTB', 'ACGL']","[0.56737985 0.08284081 0.07669472 0.07447717 0.06279507 0.05166834
 0.03022086 0.02721558 0.02080009 0.00590751]",0.11306218366065454,0.06088252524840739
2019-10-02,"['REGN', 'ENPH', 'UNH', 'HUM', 'ROK', 'GWW', 'CPRT', 'CAH', 'CBRE', 'AES']","[0.18742094 0.17979191 0.16233047 0.15138995 0.13589582 0.07556003
 0.05322195 0.03243226 0.01198963 0.00996702]",0.1463633302762703,0.12040747009916022
2019-10-03,"['ALLE', 'PM', 'CPT', 'ECL', 'JKHY', 'MAA', 'C', 'CTRA', 'MGM', 'TT']","[0.49921408 0.12651082 0.10660913 0.0971934  0.08721707 0.0545778
 0.02436945 0.00193181 0.00175756 0.00061887]",0.09956858817722386,0.06506239742735548
2019-10-04,"['AMT', 'ALLE', 'DRI', 'DHR', 'MGM', 'TT', 'ES', 'PFE', 'LVS', 'UNP']","[0.28636    0.21991044 0.1757123  0.08357991 0.06221931 0.05051495
 0.04588191 0.04236525 0.02719226 0.00626368]",0.07307065739864047,0.05314450532335431
2019-10-07,"['ALLE', 'FIS', 'SWK', 'ABBV', 'GPC', 'SHW', 'DE', 'IP', 'CF', 'ACN']","[0.5636095  0.15602164 0.06240396 0.05035722 0.04448404 0.04116573
 0.03499887 0.02716969 0.0141266  0.00566276]",0.11788455425316777,0.06754325534738365
2019-10-08,"['GRMN', 'MSFT', 'REGN', 'NOC', 'REG', 'ES', 'GL', 'NDAQ', 'FMC', 'CAG']","[0.32351529 0.26495316 0.12196787 0.10151139 0.0658064  0.03628166
 0.02939698 0.0286384  0.02607993 0.00184891]",0.10098030244856819,0.0700739804152985
2019-10-09,"['ALLE', 'ACGL', 'EMR', 'ZION', 'CPB', 'ECL', 'PRU', 'NCLH', 'MTB', 'RMD']","[0.62123781 0.17243909 0.06818316 0.05636095 0.02916205 0.0222599
 0.02203462 0.00513004 0.00229861 0.00089377]",0.11607580508849093,0.06923366229501512
2019-10-10,"['ALLE', 'CMS', 'ATO', 'APD', 'TROW', 'OKE', 'AME', 'RHI', 'DLTR', 'EQT']","[0.45319042 0.27053748 0.18123938 0.0371879  0.03010182 0.00937354
 0.00880389 0.00427358 0.00276748 0.00252452]",0.10640231851581529,0.06445404481547085
2019-10-11,"['TMO', 'CPRT', 'NVR', 'LUV', 'COO', 'RTX', 'CNP', 'NSC', 'HRL', 'SO']","[0.52076928 0.12709269 0.0820481  0.07583451 0.05906505 0.05746194
 0.02748638 0.02162924 0.01928835 0.00932445]",0.10880081041135965,0.07044077400120796
2019-10-14,"['TMO', 'NEE', 'WTW', 'CCI', 'CI', 'NFLX', 'OMC', 'TDG', 'JKHY', 'MHK']","[0.35724335 0.18722976 0.14711233 0.08203847 0.07242721 0.04228403
 0.03314827 0.02899494 0.0253441  0.02417752]",0.09198903583004976,0.052125904976981496
