Date,tickers,weights,return,risk
2019-10-01,"['ALLE', 'JNJ', 'TDY', 'JCI', 'SHW', 'JBHT', 'FE', 'TXN', 'BR', 'RSG']","[0.38289622 0.13925648 0.12907202 0.10765993 0.08831448 0.05993042
 0.05099272 0.01630619 0.01491267 0.01065888]",0.07072092511866143,0.0560129812138094
2019-10-02,"['ALLE', 'GE', 'FTNT', 'CHD', 'AAP', 'DGX', 'CLX', 'CTSH', 'IT', 'EQIX']","[0.56230503 0.10580644 0.08796139 0.08447347 0.06797433 0.04521259
 0.01927822 0.01830731 0.0048302  0.00385102]",0.10849788646371217,0.08110003082529516
2019-10-03,"['ALLE', 'ROST', 'NFLX', 'UAL', 'GE', 'EXC', 'MDLZ', 'PRU', 'DAL', 'WBD']","[0.54388071 0.16484665 0.11153032 0.06932729 0.04453483 0.02849843
 0.01492718 0.01089587 0.0061638  0.00539492]",0.13687203202197518,0.07888554501925468
2019-10-04,"['ALLE', 'PEAK', 'FRT', 'DIS', 'MKTX', 'VTRS', 'AMZN', 'CI', 'CNP', 'WYNN']","[0.48967679 0.14551747 0.07926709 0.07883657 0.06771599 0.04983005
 0.03215568 0.02835875 0.02789545 0.00074618]",0.09372313148490605,0.060644101823476786
2019-10-07,"['ALLE', 'CNC', 'KMB', 'SPG', 'TJX', 'FITB', 'MS', 'PSX', 'GM', 'AVB']","[0.55073824 0.12209238 0.08756259 0.0615269  0.0570394  0.04169357
 0.04148641 0.02039397 0.00892043 0.00854612]",0.12937325861617507,0.06928973896444483
2019-10-08,"['ALLE', 'PODD', 'GD', 'PLD', 'VZ', 'WEC', 'PFE', 'CI', 'RHI', 'BXP']","[0.46250288 0.09383379 0.08617027 0.07964528 0.06474869 0.06386972
 0.05548996 0.04549622 0.03008195 0.01816125]",0.10339210598939674,0.06378307146842173
2019-10-09,"['ALLE', 'AVGO', 'USB', 'CRL', 'CFG', 'KO', 'JNPR', 'ORCL', 'MGM', 'PSA']","[0.43251623 0.15860027 0.12663957 0.11759372 0.04602051 0.04101622
 0.02340696 0.01960577 0.01865586 0.0159449 ]",0.08297580377454794,0.05973790441817013
2019-10-10,"['TMO', 'V', 'AME', 'XOM', 'ZION', 'SRE', 'NFLX', 'AMT', 'INTU', 'NKE']","[0.49702784 0.22712745 0.06392536 0.04793133 0.04728909 0.04201389
 0.0344233  0.02541064 0.00793302 0.00691809]",0.11377510800058362,0.06698224128841056
2019-10-11,"['ALLE', 'ESS', 'DRI', 'DPZ', 'SRE', 'CF', 'C', 'DG', 'NKE', 'FE']","[0.43151323 0.16790045 0.11231935 0.09089611 0.0645399  0.04301042
 0.03724048 0.0254041  0.0187567  0.00841925]",0.10233701306938278,0.056282516349991527
2019-10-14,"['REGN', 'TMO', 'GOOGL', 'DOV', 'SRE', 'COST', 'JNJ', 'FAST', 'EQR', 'DVN']","[3.53730336e-01 1.67940801e-01 1.49598745e-01 8.25833936e-02
 6.73360117e-02 5.82102665e-02 5.57860951e-02 3.85014574e-02
 2.60603043e-02 2.52589479e-04]",0.14686447150161624,0.1093202802775576
