Date,tickers,weights,return,risk
2019-10-01,"['ALLE', 'WBD', 'GNRC', 'TTWO', 'LDOS', 'DXCM', 'IFF', 'CAH', 'CTSH', 'LH']","[0.36261707 0.23065443 0.1231884  0.06643615 0.05289816 0.04003362
 0.03855252 0.03536631 0.0325853  0.01766802]",0.09660143735699044,0.07526018313323987
2019-10-02,"['ALLE', 'SYK', 'AEE', 'XOM', 'CLX', 'WTW', 'DLR', 'CINF', 'CF', 'FAST']","[0.41126255 0.13795632 0.10488506 0.09877322 0.09072517 0.0614884
 0.05134703 0.02560109 0.01119762 0.00676354]",0.07284864663703729,0.05454850760778543
2019-10-03,"['ALLE', 'FISV', 'PXD', 'EQIX', 'NVR', 'MA', 'ANSS', 'KHC', 'ECL', 'CMI']","[0.44991924 0.18431332 0.13453647 0.06733663 0.05941674 0.04661619
 0.04225508 0.00890999 0.00565644 0.00103989]",0.10651261485143479,0.06430905778142038
2019-10-04,"['ALLE', 'AFL', 'DRI', 'PPL', 'MCD', 'DVA', 'PEG', 'INTC', 'XRAY', 'ETSY']","[0.41491002 0.13931737 0.1355803  0.11078452 0.09744669 0.07928813
 0.00769844 0.00685353 0.00515929 0.00296169]",0.09677986391214621,0.054503055820947735
2019-10-07,"['ALLE', 'REGN', 'AMD', 'VTR', 'AFL', 'STX', 'VFC', 'GRMN', 'NTAP', 'FFIV']","[0.51289064 0.14837939 0.0797153  0.0729335  0.06467243 0.04007538
 0.03807231 0.02091146 0.02061028 0.00173931]",0.14351330548235328,0.07977625766370457
2019-10-08,"['GRMN', 'SWK', 'AJG', 'UNH', 'MAR', 'EXPE', 'USB', 'BRO', 'TJX', 'DOV']","[0.49963499 0.1262398  0.12328475 0.10349021 0.05126841 0.03470344
 0.03394056 0.01529986 0.00940021 0.00273777]",0.08738695849598475,0.06992453033165405
2019-10-09,"['ALLE', 'HIG', 'EPAM', 'WEC', 'CPRT', 'ITW', 'CI', 'ILMN', 'KEY', 'MPC']","[0.45908957 0.14815482 0.09690906 0.07656733 0.06460752 0.04584232
 0.03929452 0.02619698 0.02260888 0.020729  ]",0.10211177973336581,0.06320352125355273
2019-10-10,"['TMO', 'RMD', 'ALB', 'SWKS', 'NFLX', 'TSN', 'AMZN', 'NXPI', 'LEN', 'OKE']","[0.50624968 0.16312587 0.11247745 0.08630043 0.04339174 0.02774475
 0.01939599 0.01868551 0.01167048 0.01095809]",0.11887020090643101,0.07106416708384065
2019-10-11,"['TMO', 'NDAQ', 'MAR', 'V', 'CME', 'SWK', 'LMT', 'EL', 'TXN', 'GILD']","[0.43738486 0.1640395  0.08361533 0.07975988 0.07315857 0.06470716
 0.04390807 0.0344205  0.01516806 0.00383806]",0.09396215760120473,0.05899060758500176
2019-10-14,"['TMO', 'K', 'AFL', 'BIIB', 'JPM', 'GILD', 'AMAT', 'SLB', 'PKG', 'CMS']","[0.47420633 0.12374188 0.10093554 0.07385626 0.05968291 0.0489416
 0.04360749 0.03658237 0.02785005 0.01059557]",0.0881791811996403,0.06477675991492628
2019-10-15,"['ALLE', 'LH', 'CTLT', 'HCA', 'FIS', 'IEX', 'HST', 'INCY', 'UDR', 'V']","[0.42300694 0.11959204 0.0995431  0.09560785 0.06948163 0.063746
 0.05579898 0.03185163 0.03029503 0.0110768 ]",0.09647085783182702,0.06636943933612341
2019-10-16,"['TMO', 'BRO', 'UNH', 'SWKS', 'ZBRA', 'TYL', 'ACN', 'LH', 'KO', 'CPT']","[0.34584315 0.19443143 0.17427751 0.13976961 0.07013928 0.02565682
 0.01621384 0.01533416 0.01493276 0.00340145]",0.10219546334860799,0.06481228912213316
2019-10-17,"['ALLE', 'KLAC', 'CNC', 'ELV', 'WYNN', 'STLD', 'ENPH', 'MMM', 'ROK', 'HAL']","[0.25125864 0.17523259 0.15625883 0.14961517 0.08110639 0.07106255
 0.06312638 0.02582183 0.01719573 0.00932188]",0.10686407645597007,0.08546762623430938
2019-10-18,"['ALLE', 'BDX', 'MTCH', 'MCO', 'CPB', 'HSIC', 'QCOM', 'AEP', 'IT', 'MSCI']","[0.51221928 0.0984777  0.09250157 0.08947929 0.07181529 0.0611407
 0.04809674 0.01379403 0.00881833 0.00365707]",0.09827746453485266,0.07565160590816983
2019-10-21,"['ALLE', 'LLY', 'IBM', 'LNC', 'AAPL', 'ECL', 'IT', 'GPN', 'BG', 'EBAY']","[0.49837884 0.18083239 0.08856831 0.08205836 0.07690741 0.03969826
 0.01586487 0.01141741 0.00361331 0.00266085]",0.09384076975919307,0.0720618573852643
2019-10-22,"['TMO', 'PM', 'GNRC', 'LMT', 'EIX', 'CSGP', 'AMGN', 'WM', 'AVY', 'NUE']","[0.42280073 0.12634847 0.11983232 0.09870391 0.07326552 0.05666797
 0.03798674 0.0323905  0.01626421 0.01573964]",0.08685888223725564,0.06645435518640162
2019-10-23,"['ALLE', 'REGN', 'PKG', 'NEE', 'CSGP', 'PG', 'SO', 'WST', 'NKE', 'LOW']","[0.31924905 0.1657254  0.16050597 0.12883183 0.06748565 0.05199311
 0.0505938  0.03948651 0.00837878 0.0077499 ]",0.11429291706170075,0.08125119173801029
2019-10-24,"['ALLE', 'YUM', 'MTD', 'NI', 'ACGL', 'BAX', 'DXCM', 'DAL', 'ENPH', 'UNP']","[0.4145875  0.18386397 0.11569226 0.07433103 0.04546365 0.04176579
 0.03967211 0.03857491 0.02721137 0.01883742]",0.08367155945176723,0.05651925454636536
2019-10-25,"['FICO', 'EXC', 'VRSK', 'MOH', 'ALGN', 'EXPD', 'LNT', 'WST', 'EMR', 'AAPL']","[0.45439098 0.15197727 0.14080231 0.10029671 0.09690818 0.02328687
 0.01327245 0.01092022 0.00566985 0.00247518]",0.14168779629171807,0.10767765213576429
