Date,tickers,weights,return,risk
2019-10-01,"['ALLE', 'DVA', 'BXP', 'ICE', 'RMD', 'MKC', 'WBD', 'GS', 'MTB', 'ACGL']","[0.56737985 0.08284081 0.07669472 0.07447717 0.06279507 0.05166834
 0.03022086 0.02721558 0.02080009 0.00590751]",0.14651917203141102,0.07014692561711477
2019-10-02,"['SYY', 'ALLE', 'INTU', 'ENPH', 'DIS', 'ALL', 'IT', 'FIS', 'CBOE', 'PODD']","[0.31003186 0.25619957 0.1051172  0.10428856 0.07111515 0.06913078
 0.04555273 0.0190279  0.01547511 0.00406115]",0.11704766812891329,0.07806079850733891
2019-10-03,"['ALLE', 'PM', 'CPT', 'ECL', 'JKHY', 'MAA', 'C', 'CTRA', 'MGM', 'TT']","[0.49921408 0.12651082 0.10660913 0.0971934  0.08721707 0.0545778
 0.02436945 0.00193181 0.00175756 0.00061887]",0.1457433653614617,0.06432672370317222
2019-10-04,"['ALLE', 'PPG', 'ENPH', 'CPT', 'TFX', 'WEC', 'EL', 'GIS', 'ROL', 'AVGO']","[0.33474722 0.15056974 0.12277197 0.12059426 0.06832594 0.06725339
 0.06347781 0.03624443 0.0350356  0.00097964]",0.14627159971463483,0.08057933852118168
2019-10-07,"['ALLE', 'FIS', 'SWK', 'ABBV', 'GPC', 'SHW', 'DE', 'IP', 'CF', 'ACN']","[0.5636095  0.15602164 0.06240396 0.05035722 0.04448404 0.04116573
 0.03499887 0.02716969 0.0141266  0.00566276]",0.17123133567426332,0.068506380815595
2019-10-08,"['ALLE', 'NTRS', 'SWK', 'USB', 'PYPL', 'J', 'AMP', 'BRO', 'TYL', 'GPN']","[0.41626589 0.14410475 0.12774411 0.08283112 0.07418624 0.0548547
 0.05373913 0.02398084 0.01365996 0.00863327]",0.13115166336468517,0.06882456867417974
2019-10-09,"['ALLE', 'ACGL', 'EMR', 'ZION', 'CPB', 'ECL', 'PRU', 'NCLH', 'MTB', 'RMD']","[0.62123781 0.17243909 0.06818316 0.05636095 0.02916205 0.0222599
 0.02203462 0.00513004 0.00229861 0.00089377]",0.16048657989617418,0.07553293961268098
2019-10-10,"['ALLE', 'CMS', 'ATO', 'APD', 'TROW', 'OKE', 'AME', 'RHI', 'DLTR', 'EQT']","[0.45319042 0.27053748 0.18123938 0.0371879  0.03010182 0.00937354
 0.00880389 0.00427358 0.00276748 0.00252452]",0.12262507667768084,0.06160258301366331
2019-10-11,"['ALLE', 'GNRC', 'CDW', 'NDSN', 'KR', 'RCL', 'GM', 'NUE', 'LLY', 'OXY']","[0.32468403 0.17968364 0.17055515 0.13060294 0.11477246 0.02475588
 0.02080213 0.0198339  0.00899177 0.00531812]",0.13174560279441921,0.07278201301768011
2019-10-14,"['ALLE', 'AFL', 'BR', 'CVS', 'HUM', 'XOM', 'VTR', 'AMD', 'AKAM', 'BAC']","[0.40654513 0.12582139 0.10500378 0.08720839 0.08440291 0.05817926
 0.05144682 0.03432391 0.03400474 0.01306367]",0.11119790237313867,0.06721650899608773
