Date,tickers,weights,return,risk
2019-10-01,"['FISV', 'ALLE', 'BRO', 'BIO', 'LHX', 'AWK', 'ETR', 'GOOGL', 'TER', 'BDX']","[0.28404337 0.24312582 0.14550209 0.13725475 0.09298155 0.05225183
 0.01459832 0.01200688 0.00999393 0.00824147]",0.09559833882231017,0.06245434378420868
2019-10-02,"['ALLE', 'LYV', 'TDG', 'PODD', 'KHC', 'BALL', 'DLR', 'CPB', 'AVB', 'TRMB']","[0.25191224 0.14010341 0.13171606 0.10495255 0.09723997 0.09165514
 0.07591895 0.05793086 0.03765776 0.01091307]",0.09460693018413006,0.06840997382982611
2019-10-03,"['ALLE', 'USB', 'AVGO', 'INCY', 'CINF', 'CB', 'IT', 'A', 'EBAY', 'TFC']","[0.52725992 0.20659848 0.09752    0.06006288 0.05227523 0.03427001
 0.01280169 0.00523737 0.00301881 0.00095563]",0.1466671830977715,0.06893252824669521
2019-10-04,"['ALLE', 'WM', 'BEN', 'TECH', 'INTU', 'WTW', 'CME', 'CLX', 'FMC', 'L']","[0.44112909 0.22888538 0.12401054 0.05047028 0.04690928 0.04635413
 0.02953907 0.02069008 0.00867804 0.00333412]",0.13024564925300625,0.05553860590678661
2019-10-07,"['ALLE', 'TMO', 'RF', 'STT', 'MGM', 'KDP', 'DISH', 'MKC', 'GNRC', 'DE']","[0.50096645 0.27108483 0.0610962  0.04730541 0.03473137 0.0235118
 0.02324107 0.01914014 0.00963651 0.00928622]",0.15770714413251888,0.06967353939953054
2019-10-08,"['ALLE', 'REGN', 'ES', 'EMR', 'MPC', 'NXPI', 'PRU', 'PEAK', 'BALL', 'CCL']","[0.33693028 0.22899292 0.09560673 0.07553117 0.06554703 0.06352884
 0.05489994 0.02948474 0.02909535 0.02038299]",0.14268790379468999,0.08616948663252909
2019-10-09,"['ALLE', 'HII', 'CBRE', 'AVGO', 'ACN', 'HD', 'AMCR', 'POOL', 'MU', 'DGX']","[0.55630867 0.14538755 0.10842822 0.06117677 0.04108914 0.0322364
 0.02287009 0.01952478 0.00781038 0.005168  ]",0.15808877688266443,0.08048522749521607
2019-10-10,"['ALLE', 'EXC', 'TDY', 'AJG', 'PNW', 'NSC', 'UNH', 'HII', 'EL', 'ROL']","[0.36807656 0.2092954  0.09277966 0.08892107 0.05647025 0.04892297
 0.04394363 0.03951811 0.02915583 0.02291652]",0.10389475853932763,0.05138886797059071
2019-10-11,"['ALLE', 'PGR', 'STLD', 'ED', 'XYL', 'CCI', 'GIS', 'MOH', 'AMP', 'CB']","[0.48473293 0.12091457 0.10565012 0.07406026 0.06424451 0.05424834
 0.03728153 0.03037613 0.02116868 0.00732292]",0.14383159569139894,0.06290852130988667
2019-10-14,"['ALLE', 'EXPD', 'IFF', 'TAP', 'IVZ', 'TMUS', 'GM', 'ANSS', 'CME', 'PXD']","[0.31524447 0.26712268 0.1326832  0.10164636 0.06777925 0.03436443
 0.03242008 0.02528015 0.01888983 0.00456954]",0.0963228987974968,0.06552865359819124
2019-10-15,"['ALLE', 'TT', 'ENPH', 'FDX', 'XEL', 'MNST', 'MCHP', 'KDP', 'ORCL', 'IP']","[0.24142572 0.20983438 0.18697823 0.12696932 0.0965187  0.05398
 0.03301376 0.03104924 0.0166716  0.00355905]",0.1452814682589133,0.11856201506554084
