Date,tickers,weights,return,risk
2019-10-01,"['ALLE', 'MPWR', 'IFF', 'IDXX', 'ITW', 'WRB', 'URI', 'TXN', 'JPM', 'UHS']","[0.49012938 0.14896134 0.08714086 0.07640176 0.05524582 0.05089353
 0.04186011 0.02647808 0.01467325 0.00821586]",0.1329971932514437,0.07109736255923994
2019-10-02,"['ALLE', 'VZ', 'FLT', 'TGT', 'MCD', 'CI', 'NDSN', 'CNC', 'FDS', 'CTLT']","[0.37554695 0.16805318 0.15953331 0.10434623 0.08371116 0.03613992
 0.02860772 0.02452661 0.01164034 0.00789458]",0.10571183339524375,0.07090214952967182
2019-10-03,"['WM', 'ALLE', 'COO', 'NDSN', 'LLY', 'BG', 'CPRT', 'TDY', 'GIS', 'STX']","[0.42041093 0.21672061 0.0832412  0.07786186 0.07220443 0.04120963
 0.03388197 0.03016925 0.02347893 0.00082118]",0.09154804483009073,0.04612642488196268
2019-10-04,"['ALLE', 'TMUS', 'CME', 'VRSK', 'PEG', 'FITB', 'AAP', 'FICO', 'FSLR', 'CMA']","[0.25732969 0.1699059  0.13780059 0.11871637 0.11104091 0.07660357
 0.04185091 0.04013983 0.03829544 0.0083168 ]",0.08516055876361588,0.04877477735766602
2019-10-07,"['ALLE', 'LH', 'ODFL', 'KLAC', 'HPQ', 'EPAM', 'DXCM', 'TROW', 'BA', 'AAL']","[0.41541555 0.13198165 0.11226576 0.10389697 0.07962576 0.06449726
 0.03936643 0.03505488 0.01665141 0.00124432]",0.1377814553518192,0.07557512479154235
2019-10-08,"['ALLE', 'APD', 'AMCR', 'BSX', 'IFF', 'BK', 'DXCM', 'QRVO', 'ETR', 'ALGN']","[0.42138526 0.24506342 0.11633996 0.07733026 0.04355692 0.03244225
 0.02967511 0.01468389 0.0128371  0.00668584]",0.1487533404713393,0.05766719165503218
2019-10-09,"['ALLE', 'LHX', 'ZBH', 'BR', 'TER', 'FLT', 'ED', 'A', 'AVY', 'FICO']","[0.6264953  0.14613337 0.07672115 0.05282363 0.03278375 0.02132863
 0.02054097 0.01631228 0.00509901 0.00176191]",0.16486594579833708,0.07619023804430648
2019-10-10,"['ALLE', 'EVRG', 'TMO', 'AKAM', 'QCOM', 'SPG', 'BRO', 'SWKS', 'NVR', 'TT']","[0.47974668 0.13551159 0.1013442  0.06682369 0.05517264 0.05431439
 0.05170069 0.04114611 0.01154148 0.00269854]",0.12864284161469577,0.060592170022009006
2019-10-11,"['ALLE', 'ROL', 'CTLT', 'XYL', 'KHC', 'AAL', 'MMC', 'CDNS', 'JCI', 'IDXX']","[0.49887268 0.16515167 0.14868093 0.06700405 0.06503457 0.01813933
 0.01351467 0.0090529  0.00838086 0.00616834]",0.13759492119664724,0.07284548854989975
2019-10-14,"['ALLE', 'RSG', 'L', 'ABBV', 'LYV', 'ESS', 'GOOGL', 'CDNS', 'AEE', 'EA']","[0.33048415 0.18181316 0.10843865 0.09226597 0.09081311 0.06614726
 0.05899695 0.04935498 0.016095   0.00559077]",0.10812908246402195,0.04999162193164065
2019-10-15,"['ALLE', 'TDG', 'GILD', 'MCD', 'PPG', 'ENPH', 'REGN', 'NDSN', 'NEE', 'EVRG']","[0.21569893 0.19178003 0.1614468  0.10183679 0.07441482 0.0737134
 0.07030349 0.06686848 0.02703688 0.01690039]",0.121062899992722,0.07283269412862217
2019-10-16,"['ALLE', 'SEDG', 'AMP', 'CTAS', 'BBY', 'DAL', 'HST', 'WEC', 'PFG', 'TSCO']","[0.30549366 0.17739745 0.16773422 0.10165114 0.09379834 0.07463013
 0.03597297 0.03410304 0.00702777 0.00219127]",0.13428349310598275,0.09282830122082168
2019-10-17,"['ALLE', 'ETR', 'MS', 'TROW', 'HON', 'ROL', 'NOC', 'FITB', 'STLD', 'UNP']","[0.46327472 0.19634041 0.11252492 0.07303355 0.06139345 0.04894883
 0.01828684 0.01578841 0.00667155 0.00373731]",0.12832041439038178,0.07274578708673005
2019-10-18,"['ALLE', 'TMUS', 'ETSY', 'TAP', 'PHM', 'CCI', 'ALK', 'AJG', 'CTAS', 'TGT']","[0.36685994 0.19173406 0.0917432  0.08088781 0.07708516 0.06888657
 0.06765748 0.03091343 0.02322411 0.00100823]",0.08992095286156007,0.06522924620145112
2019-10-21,"['ALLE', 'K', 'GOOGL', 'IPG', 'AMT', 'BA', 'META', 'KMI', 'EA', 'PNW']","[0.44267523 0.15483158 0.11964412 0.09679658 0.05731818 0.05404168
 0.04552436 0.01221965 0.00952551 0.00742311]",0.1147039602917619,0.06439338716171615
