Date,tickers,weights,return,risk
2019-10-01,"['NOW', 'TJX', 'PNR', 'ABT', 'TFX', 'ALK', 'TXN', 'LYV', 'SJM', 'FIS']","[0.37713721 0.29482758 0.17488177 0.03952685 0.03143127 0.02822927
 0.02638413 0.02233243 0.00483292 0.00041657]",1.1747642022314724,0.07206253594470231
2019-10-02,"['KDP', 'GE', 'PRU', 'TT', 'KR', 'EIX', 'CTAS', 'EXR', 'STX', 'VFC']","[0.30400598 0.21705469 0.12459257 0.09525374 0.0729689  0.06466677
 0.04749218 0.02658898 0.02482227 0.02255393]",1.4139589344380052,0.08321539875626559
2019-10-03,"['STX', 'PRU', 'AIZ', 'FMC', 'TSN', 'NEM', 'LIN', 'VMC', 'TMUS', 'ANET']","[0.39507814 0.19915886 0.13914019 0.09265174 0.08674292 0.03022468
 0.0287292  0.02493275 0.00273747 0.00060404]",1.3825571082885553,0.09809884647609234
2019-10-04,"['DVA', 'IP', 'TPR', 'MRO', 'SLB', 'PEG', 'UPS', 'GEN', 'ADSK', 'BIIB']","[0.26942346 0.25928466 0.16334528 0.11080393 0.07822657 0.06042292
 0.03263353 0.01262321 0.00691544 0.006321  ]",1.456190233606438,0.10159865136046214
2019-10-07,"['KDP', 'GRMN', 'ACN', 'GE', 'FLT', 'GL', 'IBM', 'NDAQ', 'SO', 'BLK']","[0.27899087 0.1627131  0.14057641 0.1254502  0.09160748 0.07743988
 0.06952578 0.03860741 0.00880989 0.00627898]",1.08101124805795,0.06921916445403897
2019-10-08,"['SBAC', 'K', 'BWA', 'VLO', 'VRSK', 'COO', 'TFC', 'PAYC', 'NOW', 'SYK']","[0.19564677 0.18763979 0.14717429 0.13551643 0.10630708 0.0769298
 0.07194954 0.03235201 0.03085823 0.01562608]",1.461242782236472,0.08678866703977339
2019-10-09,"['KDP', 'VFC', 'WMT', 'CHD', 'PRU', 'AJG', 'FAST', 'RMD', 'UHS', 'GWW']","[0.44842971 0.11803867 0.10704736 0.09594357 0.08439006 0.06111802
 0.04138475 0.02651936 0.01067202 0.00645649]",1.4900690041186984,0.09629517510102648
2019-10-10,"['TEL', 'CNC', 'ES', 'STE', 'ADSK', 'WBA', 'BSX', 'GRMN', 'JPM', 'AMCR']","[2.67312369e-01 2.18862337e-01 1.63282913e-01 1.18826142e-01
 7.36033650e-02 6.26744420e-02 5.45681376e-02 4.01910898e-02
 5.68638507e-04 1.10565390e-04]",1.302063403748819,0.08724148483744987
2019-10-11,"['KDP', 'MCK', 'EOG', 'UPS', 'MAS', 'TSLA', 'GIS', 'MAA', 'PFE', 'HAS']","[0.3993113  0.16387578 0.12366596 0.10623233 0.07252892 0.0546739
 0.04215949 0.02594991 0.00905949 0.00254293]",1.2225900997468626,0.07430865667330071
2019-10-14,"['KDP', 'CTRA', 'BRO', 'STE', 'UPS', 'F', 'WHR', 'HRL', 'PM', 'GEN']","[0.3647809  0.18085939 0.12621762 0.09639681 0.05904813 0.05569742
 0.0549888  0.04054157 0.01456867 0.00690069]",1.5799373583455723,0.09295422766397358
