Date,tickers,weights,return,risk
2019-10-01,"['ILMN', 'K', 'TJX', 'SPGI', 'FSLR', 'NXPI', 'ADP', 'MAR', 'PEP', 'VTRS']","[0.22344085 0.21560447 0.19467085 0.0783687  0.07482738 0.07325321
 0.06938844 0.03533837 0.02725469 0.00785304]",1.027985596659722,0.06793670982087414
2019-10-02,"['KDP', 'MRO', 'GL', 'ES', 'OKE', 'DOV', 'GM', 'DIS', 'OXY', 'CMCSA']","[0.32284198 0.30143734 0.17399521 0.06518113 0.05141336 0.03836319
 0.03230874 0.01222169 0.00137106 0.0008663 ]",2.4767254815766218,0.14057649302199499
2019-10-03,"['PRU', 'XYL', 'GNRC', 'KDP', 'NDAQ', 'TJX', 'STZ', 'SPGI', 'ALLE', 'TSN']","[0.2326425  0.19616674 0.16875121 0.11173249 0.07669229 0.07448905
 0.05881991 0.04630069 0.03265743 0.00174769]",1.769703676422191,0.08737929612586154
2019-10-04,"['PRU', 'TJX', 'MRO', 'AVB', 'GOOG', 'CNP', 'LKQ', 'GILD', 'AMD', 'NEM']","[0.27182165 0.21789689 0.16129875 0.09975369 0.07111019 0.06639217
 0.03569558 0.03065258 0.02564241 0.01973609]",1.8380426455461656,0.11621186205292418
2019-10-07,"['CVS', 'MTD', 'KDP', 'BAX', 'VTRS', 'STX', 'CFG', 'CRM', 'IT', 'MNST']","[0.31831174 0.28845732 0.20692151 0.06841842 0.051733   0.04189469
 0.01381399 0.00735045 0.00249281 0.00060608]",1.2201947712620838,0.07728856072227948
2019-10-08,"['KDP', 'STX', 'MRO', 'C', 'CHTR', 'KHC', 'CCI', 'BK', 'CAT', 'TECH']","[0.32589009 0.11655003 0.10305784 0.09644627 0.08958174 0.0868766
 0.07436995 0.04774371 0.0450429  0.01444086]",1.5157019805308656,0.09074010908056664
2019-10-09,"['KDP', 'MMC', 'PEAK', 'MAA', 'J', 'STE', 'AOS', 'PEP', 'CTLT', 'DE']","[0.46714085 0.14332265 0.12110051 0.06911615 0.06542245 0.05881246
 0.04075377 0.01561784 0.01157969 0.00713363]",1.4401328429603342,0.0785960122050923
2019-10-10,"['STX', 'IT', 'BWA', 'BKR', 'VFC', 'BIIB', 'FDS', 'WMT', 'FMC', 'ESS']","[0.21409891 0.1628603  0.1468489  0.11366434 0.09362294 0.09112982
 0.07903149 0.05661886 0.03465734 0.0074671 ]",1.3568314790050178,0.08190444636911326
2019-10-11,"['GNRC', 'SPGI', 'TJX', 'CCI', 'NDAQ', 'ARE', 'TSLA', 'RF', 'VRSK', 'AMZN']","[0.39780324 0.23836305 0.1488066  0.07273034 0.05870633 0.04255583
 0.01444708 0.01201341 0.01056672 0.00400739]",2.223103635834289,0.14964056534764622
2019-10-14,"['GE', 'KDP', 'TPR', 'MKC', 'EOG', 'COO', 'AMZN', 'ROST', 'NFLX', 'AWK']","[0.37389035 0.18618981 0.17941684 0.08625421 0.05689634 0.04556304
 0.03681256 0.01758632 0.01154009 0.00585043]",1.236570757014183,0.07765384892044026
2019-10-15,"['KDP', 'K', 'KMI', 'CNC', 'AON', 'EMN', 'ELV', 'NVR', 'FRT', 'HUM']","[0.34108311 0.14126336 0.09978592 0.08206318 0.07526127 0.07016104
 0.06355618 0.06026162 0.03671816 0.02984617]",0.9949271892761365,0.06291875033908564
2019-10-16,"['TJX', 'BWA', 'SPGI', 'CF', 'MAR', 'FE', 'AON', 'MA', 'GLW', 'POOL']","[0.40562203 0.18895321 0.11683429 0.10307631 0.0667401  0.04510232
 0.04215194 0.01991147 0.00673618 0.00487215]",1.5632764695560835,0.09103836958002254
2019-10-17,"['TJX', 'SJM', 'GL', 'MGM', 'NI', 'BRO', 'MSFT', 'ADSK', 'AMP', 'LKQ']","[0.21212192 0.19002135 0.14607156 0.12137323 0.08095053 0.05940766
 0.05703068 0.04981874 0.04682862 0.03637572]",1.1912855389590922,0.07178502161097247
2019-10-18,"['PYPL', 'KDP', 'DVN', 'PRU', 'FICO', 'VRSK', 'IT', 'WAB', 'DLTR', 'CF']","[0.29308622 0.23340131 0.09117189 0.08821621 0.08736346 0.07572757
 0.04037459 0.03515439 0.02996777 0.02553659]",1.2708477379648195,0.07575569231477218
2019-10-21,"['KDP', 'AVB', 'NWSA', 'LOW', 'WMB', 'LH', 'ADI', 'RHI', 'EXPE', 'BBWI']","[0.38591258 0.15404181 0.13081565 0.10028442 0.06195605 0.05600587
 0.04415734 0.03413386 0.01735801 0.01533441]",1.291000110578179,0.08236725802375759
2019-10-22,"['TEL', 'TSN', 'CINF', 'ADM', 'GL', 'NDAQ', 'BXP', 'DVA', 'EQIX', 'TDG']","[0.25425418 0.21162073 0.14848518 0.11239964 0.09501653 0.08925359
 0.0471294  0.0228046  0.01866398 0.00037216]",1.6100755701995273,0.10531318900914563
2019-10-23,"['KDP', 'BWA', 'BAX', 'AVB', 'COST', 'SHW', 'TRV', 'BBWI', 'WDC', 'GOOG']","[0.33352065 0.17951526 0.16978998 0.08138292 0.06998128 0.05818752
 0.04438822 0.02348634 0.02230226 0.01744557]",1.5084922592534955,0.07618389859317262
2019-10-24,"['MRO', 'WELL', 'STZ', 'PRU', 'MCK', 'CFG', 'SWK', 'NVDA', 'COF', 'ABT']","[0.22556677 0.19577925 0.17038896 0.1194046  0.09263916 0.06080059
 0.04371228 0.04286496 0.03568173 0.01316169]",1.4726596060193875,0.09367463557601349
2019-10-25,"['KDP', 'BWA', 'AWK', 'PNR', 'WY', 'AME', 'UPS', 'APA', 'TXT', 'AZO']","[0.4224679  0.19815566 0.15545819 0.09980841 0.04040293 0.03157338
 0.03119833 0.01093078 0.00802644 0.00197798]",1.4239803497741135,0.08553190947610505
