Date,tickers,weights,return,risk
2019-10-01,"['ALLE', 'DGX', 'VRSN', 'WM', 'PGR', 'ADBE', 'PPG', 'K', 'PXD', 'ZBRA']","[3.96347032e-01 1.48878031e-01 1.22333997e-01 8.45136205e-02
 7.75960433e-02 7.35732713e-02 4.48042977e-02 3.47473207e-02
 1.71132519e-02 9.31346506e-05]",0.079307738207539,0.05668703257042629
2019-10-02,"['REGN', 'PEG', 'PG', 'TMUS', 'FISV', 'LLY', 'CZR', 'TRMB', 'LHX', 'SWKS']","[0.27319746 0.15644303 0.15417119 0.15337478 0.10894432 0.05395596
 0.05349214 0.04137973 0.00331271 0.0017287 ]",0.10900584029765696,0.09024893026378437
2019-10-03,"['ALLE', 'HON', 'GRMN', 'LIN', 'HLT', 'RSG', 'ABT', 'FIS', 'KDP', 'SWK']","[0.33062285 0.15959149 0.12460037 0.09843865 0.08784017 0.05843382
 0.05629669 0.049857   0.02342762 0.01089136]",0.10139736581709839,0.05877722375020302
2019-10-04,"['FISV', 'ALLE', 'REGN', 'CRL', 'REG', 'MSI', 'CNC', 'XYL', 'BIIB', 'AIG']","[0.24222073 0.22397671 0.15170027 0.11992272 0.08508846 0.08211581
 0.06251053 0.01919113 0.00806788 0.00520575]",0.1335916165979586,0.06369554271149565
2019-10-07,"['ALLE', 'POOL', 'GM', 'PPL', 'BSX', 'HST', 'ALL', 'CMA', 'AXON', 'EQR']","[5.51657949e-01 1.18519773e-01 1.01718315e-01 6.31114382e-02
 4.63905702e-02 3.93827959e-02 3.83512027e-02 2.98985187e-02
 1.08928551e-02 7.65814630e-05]",0.10311894961973253,0.06586772386964511
2019-10-08,"['TMO', 'CNC', 'FE', 'WRB', 'TMUS', 'CAH', 'MTCH', 'VRSK', 'CSX', 'REG']","[0.24168999 0.23845787 0.16987267 0.13903732 0.05034032 0.03887325
 0.03823882 0.0295876  0.02954379 0.02435838]",0.11326391126238167,0.0727390664544766
2019-10-09,"['ALLE', 'AMT', 'CSCO', 'BIO', 'ZION', 'PWR', 'VTRS', 'USB', 'IVZ', 'AEE']","[0.67990939 0.07535347 0.06353708 0.04713454 0.04696547 0.03896054
 0.02249087 0.02022479 0.00282995 0.0025939 ]",0.12936782927406357,0.06973963218939118
2019-10-10,"['TMO', 'CTAS', 'PNR', 'POOL', 'PAYC', 'GILD', 'PFE', 'SCHW', 'PPL', 'WMT']","[0.38294314 0.16992655 0.14498859 0.10268178 0.05227901 0.04943297
 0.03712504 0.0258086  0.01940254 0.01541179]",0.11002488456708637,0.07091941736124345
2019-10-11,"['ALLE', 'MMC', 'LLY', 'CNC', 'EPAM', 'EXC', 'AES', 'AKAM', 'TDY', 'PCAR']","[0.39601158 0.23463645 0.14452014 0.07036844 0.06397956 0.04300771
 0.01719508 0.01433069 0.01076322 0.00518712]",0.11764480930564902,0.0564781337036376
2019-10-14,"['ALLE', 'WM', 'LHX', 'MSFT', 'MCK', 'RMD', 'AVGO', 'PLD', 'AXON', 'ED']","[0.44924238 0.12972312 0.11764255 0.10626767 0.08809298 0.04723761
 0.03988857 0.01669041 0.00353498 0.00167972]",0.11164672042338453,0.061089968999706375
2019-10-15,"['ALLE', 'CME', 'DLR', 'IPG', 'AEE', 'MPC', 'NWSA', 'CVX', 'CZR', 'BALL']","[0.50687809 0.21680959 0.08639903 0.05368365 0.0369635  0.025147
 0.02388245 0.01986664 0.01762674 0.01274332]",0.11087700642487995,0.05672235444067451
2019-10-16,"['ALLE', 'ED', 'HD', 'CAH', 'KO', 'MDT', 'DHR', 'APTV', 'DAL', 'FIS']","[0.62829762 0.08413666 0.06597667 0.06417153 0.05023008 0.04074631
 0.03643214 0.0164096  0.01090533 0.00269407]",0.12859766867291939,0.06833631451784565
2019-10-17,"['ALLE', 'AVGO', 'L', 'DHI', 'SYY', 'SWKS', 'CDNS', 'CNC', 'MDLZ', 'IT']","[0.47797399 0.11672127 0.11511348 0.08330674 0.05705698 0.04001781
 0.02940581 0.02884655 0.0265973  0.02496007]",0.10164307000891201,0.05846458445724536
2019-10-18,"['TMO', 'MSCI', 'EMR', 'NEM', 'BAX', 'PWR', 'MKC', 'OXY', 'EQR', 'WHR']","[0.56234069 0.12674878 0.11150016 0.06479235 0.0422779  0.03249902
 0.02683762 0.02392759 0.00759869 0.0014772 ]",0.10654171934337424,0.07486665622084293
2019-10-21,"['TMO', 'CINF', 'ALLE', 'SNPS', 'OMC', 'TMUS', 'SBAC', 'LVS', 'AWK', 'ANET']","[0.1881115  0.15935575 0.15520276 0.14352596 0.12797935 0.10698266
 0.05064187 0.03719652 0.02245945 0.00854418]",0.08180878925114982,0.04772444028852499
2019-10-22,"['ALLE', 'TMO', 'AJG', 'WEC', 'TFX', 'ORLY', 'HBAN', 'HSIC', 'BKR', 'CZR']","[3.67667191e-01 2.46569855e-01 1.33385725e-01 1.32033680e-01
 4.16291419e-02 3.05276037e-02 2.87645535e-02 1.40955035e-02
 5.28047928e-03 4.62680511e-05]",0.12665785792464349,0.050627098910272145
2019-10-23,"['ALLE', 'AEE', 'LH', 'FRT', 'MMM', 'YUM', 'CSGP', 'HCA', 'MCHP', 'CPB']","[0.5013837  0.11348656 0.09041721 0.08789909 0.04702662 0.03712704
 0.03678724 0.03440152 0.03172292 0.01974811]",0.10129332314883528,0.05866942090904213
2019-10-24,"['FICO', 'SBUX', 'PGR', 'SPGI', 'FDS', 'BIIB', 'CTAS', 'PG', 'HII', 'JBHT']","[0.27998914 0.18819382 0.17488084 0.09438228 0.08719813 0.04709926
 0.0456879  0.0411735  0.03714327 0.00425187]",0.10204083571408483,0.07716357840677686
2019-10-25,"['KO', 'ALLE', 'TMO', 'MNST', 'CME', 'ADI', 'CHD', 'DTE', 'KMI', 'EIX']","[0.35221352 0.31198792 0.09263145 0.06730795 0.05778291 0.0545562
 0.03589272 0.01557809 0.01008288 0.00196636]",0.07683962744377615,0.05494548554445849
2019-10-28,"['CNC', 'ALLE', 'LMT', 'AME', 'AMT', 'CDW', 'CNP', 'CTAS', 'PEG', 'STE']","[0.28090849 0.2019961  0.15165119 0.106047   0.07898537 0.06449697
 0.04641206 0.034933   0.02272687 0.01184297]",0.11188693661995572,0.08703221327346264
2019-10-29,"['ALLE', 'FE', 'RSG', 'NFLX', 'ORLY', 'ROST', 'ABBV', 'UNH', 'CMI', 'PODD']","[0.32460827 0.12591029 0.12502827 0.12299845 0.09457458 0.06866673
 0.05452232 0.03310937 0.028474   0.02210772]",0.09021608942198901,0.06598620579615756
2019-10-30,"['FICO', 'WST', 'ESS', 'EPAM', 'FCX', 'BWA', 'AMCR', 'HIG', 'META', 'CDW']","[0.51045533 0.19111099 0.05870085 0.05569783 0.05534396 0.03805819
 0.03557136 0.02068671 0.01759344 0.01678133]",0.14798363726591182,0.11677381937472964
2019-10-31,"['ALLE', 'IEX', 'REGN', 'CPRT', 'NOW', 'DLTR', 'AEP', 'CTRA', 'NFLX', 'META']","[0.26064418 0.20914156 0.19660203 0.13689915 0.07812199 0.05356217
 0.02043184 0.01790254 0.01639074 0.0103038 ]",0.10944208324220042,0.0942686711128507
2019-11-01,"['FICO', 'ABT', 'FAST', 'VZ', 'GNRC', 'NFLX', 'STE', 'AON', 'GPN', 'PEAK']","[0.2256411  0.19143382 0.15329997 0.10897845 0.09329617 0.08933985
 0.05973062 0.0537903  0.02279473 0.001695  ]",0.09552215607488244,0.071780956555492
2019-11-04,"['FICO', 'DHR', 'NOC', 'EIX', 'BALL', 'DISH', 'EBAY', 'STX', 'SWK', 'WEC']","[0.4995887  0.09978889 0.0992864  0.08582297 0.07699777 0.05500608
 0.03498491 0.03129873 0.01248983 0.00473572]",0.1300781423852815,0.10580646671735963
2019-11-05,"['FICO', 'HAS', 'CDW', 'ANSS', 'C', 'WRB', 'EVRG', 'F', 'DLTR', 'AEE']","[0.46512195 0.14093559 0.09680636 0.0782733  0.07771012 0.05662675
 0.04633925 0.01632644 0.01611276 0.00574746]",0.11425087654221765,0.10177404051633751
2019-11-06,"['GNRC', 'POOL', 'MA', 'ANET', 'TDG', 'GILD', 'AAPL', 'HSIC', 'HUM', 'WMT']","[0.354325   0.22529029 0.16934541 0.10358115 0.06255817 0.04425706
 0.01269471 0.01242709 0.00810699 0.00741412]",0.08064294164380184,0.08471187818576513
2019-11-07,"['FICO', 'ROL', 'EXC', 'COF', 'NEM', 'WYNN', 'TGT', 'ORCL', 'HII', 'WAB']","[0.56530806 0.22432496 0.05288197 0.037688   0.03613288 0.02731548
 0.02340746 0.0149705  0.00930782 0.00866286]",0.1370116076545597,0.1176140285374562
2019-11-08,"['MSI', 'FICO', 'MCD', 'IBM', 'MOH', 'HCA', 'V', 'CME', 'DFS', 'TRMB']","[0.24652578 0.20174612 0.1080688  0.09372139 0.08198    0.07943779
 0.07879472 0.06814739 0.0342179  0.0073601 ]",0.07778013923887377,0.06512654884593284
2019-11-11,"['FICO', 'CDNS', 'ALLE', 'TFX', 'CME', 'EIX', 'OXY', 'ALGN', 'CE', 'COO']","[0.2601079  0.16820741 0.16781063 0.09079697 0.08915773 0.07993034
 0.05067924 0.04739919 0.02511168 0.02079891]",0.09614665528193916,0.07376502720682036
2019-11-12,"['AEE', 'FICO', 'NEE', 'CHD', 'CSCO', 'SO', 'ACGL', 'PH', 'WHR', 'LMT']","[0.32230712 0.22317853 0.20251355 0.08964288 0.05547941 0.04093214
 0.04062749 0.01599279 0.00695096 0.00237514]",0.07105362347388211,0.0692971295215002
2019-11-13,"['ICE', 'AMT', 'GNRC', 'PODD', 'CRL', 'MDLZ', 'TFX', 'NSC', 'GLW', 'CTRA']","[0.25986329 0.20036012 0.17478819 0.08484826 0.07806784 0.07605019
 0.04960488 0.03789187 0.03684564 0.00167972]",0.05924609234630206,0.05970229483886833
2019-11-14,"['FICO', 'FISV', 'INTU', 'BMY', 'TDG', 'ICE', 'WELL', 'A', 'NXPI', 'CSX']","[0.40599377 0.23939827 0.09808372 0.05916582 0.0437024  0.04137208
 0.04129685 0.02859857 0.02852161 0.01386692]",0.10520698777517148,0.0934033597376575
2019-11-15,"['FICO', 'CTLT', 'ECL', 'DHI', 'TXN', 'SBAC', 'IT', 'FE', 'UDR', 'ALB']","[0.32534532 0.16695086 0.15735632 0.15607162 0.06990543 0.05894502
 0.03027924 0.02350791 0.00872865 0.00290963]",0.07454232351390691,0.09755802247623624
2019-11-18,"['VRSN', 'GNRC', 'TDY', 'TYL', 'CPT', 'CNC', 'ANSS', 'AON', 'CSX', 'FFIV']","[0.21111676 0.18778894 0.14134323 0.1115307  0.10415469 0.08287351
 0.05758025 0.04558048 0.0446668  0.01336465]",0.0670719903283293,0.06624244622952129
2019-11-19,"['FICO', 'NI', 'ORCL', 'CFG', 'VZ', 'VTRS', 'TDY', 'ALLE', 'KEYS', 'CCI']","[0.53983922 0.11272344 0.09754487 0.0793642  0.05275984 0.04514666
 0.04491137 0.01771391 0.00781302 0.00218348]",0.10077386281760504,0.12382797957216049
2019-11-20,"['MSFT', 'NEE', 'BALL', 'POOL', 'J', 'LDOS', 'RE', 'LNT', 'DHI', 'CSX']","[0.44415053 0.1613808  0.15636107 0.09894509 0.0629533  0.03471479
 0.01813863 0.01746047 0.00342179 0.00247352]",0.05917626670061302,0.07828772990535539
2019-11-21,"['MSI', 'FICO', 'WM', 'GL', 'KIM', 'QRVO', 'HAS', 'WDC', 'FSLR', 'FISV']","[3.67196164e-01 2.69281353e-01 2.16101893e-01 5.26764384e-02
 2.70629041e-02 2.65665988e-02 2.31857423e-02 1.04810249e-02
 7.36905181e-03 7.88300992e-05]",0.07707238115042557,0.07979468346497327
2019-11-22,"['FISV', 'COST', 'IQV', 'TECH', 'BSX', 'CDNS', 'GL', 'AEP', 'C', 'INTU']","[0.29688939 0.22174088 0.10712204 0.08832847 0.07586394 0.07476035
 0.04834272 0.03507576 0.02630682 0.02556963]",0.05099545861458497,0.06050878496378476
2019-11-25,"['ZTS', 'BALL', 'SJM', 'SEE', 'CDW', 'ED', 'FIS', 'TEL', 'DLR', 'BR']","[0.34798157 0.29913715 0.09614982 0.08992254 0.04428234 0.04019077
 0.03916583 0.01896654 0.0128507  0.01135274]",0.050015450435396236,0.06062336884866362
2019-11-26,"['VRSK', 'GNRC', 'GRMN', 'NOW', 'WST', 'TER', 'ICE', 'CB', 'ANSS', 'FRT']","[0.25179685 0.23151084 0.20570307 0.07612292 0.05160053 0.05026152
 0.04236847 0.03237156 0.03084643 0.0274178 ]",0.06637644627873701,0.06886176268960195
2019-11-27,"['WM', 'ZTS', 'EW', 'LRCX', 'AVB', 'J', 'ACN', 'AMZN', 'ADI', 'CPRT']","[0.41315794 0.28330406 0.16889016 0.05135653 0.02250281 0.02067901
 0.0162003  0.01391175 0.00806306 0.00193439]",0.06481837267282219,0.0651461629018508
2019-11-29,"['WM', 'MKC', 'DHR', 'ORCL', 'MET', 'CFG', 'BAX', 'TXN', 'JNPR', 'FSLR']","[0.56006747 0.14131936 0.13286605 0.07071659 0.02656929 0.02103131
 0.01870815 0.01480443 0.01171613 0.00220122]",0.040489769480719834,0.047352234846224146
2019-12-02,"['AON', 'GNRC', 'ENPH', 'TGT', 'CDNS', 'ROK', 'KMB', 'SWK', 'USB', 'ISRG']","[0.30251406 0.21539448 0.20390134 0.11024416 0.09340504 0.03931004
 0.01281029 0.01250908 0.0089955  0.00091601]",0.09098768735003523,0.12046409207094994
2019-12-03,"['NEE', 'AMGN', 'FICO', 'CCI', 'ZBRA', 'MKTX', 'IDXX', 'CVX', 'AZO', 'NTRS']","[0.39983043 0.13411223 0.13072183 0.10280676 0.09952173 0.07777545
 0.0353144  0.01357232 0.00382741 0.00251743]",0.04717061374374139,0.06288616170052469
2019-12-04,"['GNRC', 'DG', 'CLX', 'SHW', 'NDAQ', 'RL', 'TDY', 'AAL', 'AEE', 'CE']","[0.34798544 0.16656484 0.15875148 0.09959694 0.0960111  0.05097015
 0.03746521 0.02683614 0.01303549 0.00278322]",0.0752619905021001,0.08581528581777452
2019-12-05,"['BRO', 'ENPH', 'AEE', 'CTLT', 'JNPR', 'UNP', 'ECL', 'TFX', 'APA', 'BIIB']","[0.33740282 0.31225584 0.11942871 0.06118299 0.0476689  0.04662046
 0.02884046 0.01989469 0.01393613 0.012769  ]",0.12633656803573604,0.16813606388425464
2019-12-06,"['GNRC', 'STE', 'COO', 'ALL', 'FISV', 'IPG', 'PNC', 'PWR', 'AXP', 'NTRS']","[0.37228612 0.23385165 0.21843618 0.07333165 0.05129014 0.01589026
 0.01562678 0.01518517 0.00320007 0.00090198]",0.0697338607648146,0.0815123835503996
2019-12-09,"['GNRC', 'TXN', 'CCI', 'AMD', 'ROST', 'ES', 'ANSS', 'CMG', 'ZION', 'GWW']","[0.30915388 0.23393752 0.17163824 0.0743406  0.0632725  0.0630815
 0.03958205 0.02469367 0.01109444 0.00920559]",0.07120443366484629,0.07838457939956518
