Date,tickers,weights,return,risk
2019-10-01,"['AIZ', 'MRO', 'MGM', 'RF', 'BG', 'NWSA', 'SEE', 'ETSY', 'EW', 'MPWR']","[0.28377975 0.21514335 0.18780379 0.10126827 0.06107506 0.05698883
 0.04761088 0.02362471 0.02170287 0.00100249]",1.7163815343299795,0.11418164738505196
2019-10-02,"['KDP', 'GE', 'CMI', 'ATO', 'AXON', 'ELV', 'CZR', 'UPS', 'AMD', 'BSX']","[0.30173642 0.24225425 0.10766313 0.10251706 0.0815613  0.06335602
 0.04387557 0.03036785 0.02297175 0.00369664]",1.3965213915071812,0.0722043497816426
2019-10-03,"['KDP', 'K', 'GLW', 'TYL', 'PG', 'IPG', 'GNRC', 'DRI', 'CPRT', 'IBM']","[0.43213908 0.13040447 0.08425494 0.0840921  0.07858701 0.06528786
 0.06298401 0.04945751 0.01195081 0.00084223]",1.3140479713161735,0.07968260415623965
2019-10-04,"['BWA', 'CTRA', 'ATO', 'FANG', 'LVS', 'PH', 'EQT', 'BR', 'SPGI', 'XRAY']","[0.26537918 0.22796132 0.14474326 0.09909718 0.081924   0.06465823
 0.03992363 0.03799084 0.03634112 0.00198125]",1.1278276300760965,0.07778189785383366
2019-10-07,"['NDAQ', 'MMC', 'VFC', 'MCD', 'ISRG', 'CVS', 'ADSK', 'BAC', 'NOW', 'MRK']","[0.34712429 0.14131963 0.13583574 0.11124997 0.08507812 0.06533831
 0.04698213 0.03916619 0.02686461 0.00104101]",1.7667828566523438,0.12277836220812798
2019-10-08,"['MRO', 'EFX', 'SBAC', 'CDNS', 'PRU', 'ICE', 'TFC', 'ROST', 'ANET', 'TDY']","[0.2234405  0.16382782 0.14217113 0.12209736 0.11479644 0.08717508
 0.07020047 0.04743279 0.01619588 0.01266253]",1.843718006022259,0.11988550992329751
2019-10-09,"['KDP', 'ADM', 'MO', 'NOW', 'TYL', 'CNP', 'EBAY', 'MS', 'JCI', 'ACN']","[0.45622364 0.13675682 0.13508614 0.06332483 0.04363814 0.04144587
 0.03456513 0.03163763 0.03055753 0.02676426]",1.2003404583792354,0.07441027545267834
2019-10-10,"['KDP', 'ABT', 'VRSK', 'CINF', 'HUM', 'FANG', 'IT', 'AAPL', 'DLR', 'LHX']","[0.48395292 0.11700646 0.10658045 0.09866181 0.05937738 0.04022108
 0.03624419 0.02582703 0.01854907 0.01357961]",1.9630496839365228,0.10369523653717173
2019-10-11,"['BWA', 'KDP', 'AVB', 'AAL', 'GNRC', 'AZO', 'PTC', 'NKE', 'JBHT', 'KEY']","[0.23427715 0.17433873 0.1704323  0.09791359 0.08547766 0.08021753
 0.05106622 0.05062256 0.03520756 0.02044671]",1.5001838432591266,0.08727967860807916
2019-10-14,"['KDP', 'TEL', 'K', 'UDR', 'BEN', 'CBRE', 'BG', 'STE', 'ON', 'TRMB']","[0.30510282 0.19294337 0.18634995 0.0695576  0.05744256 0.05074514
 0.04763121 0.03144861 0.02989187 0.02888686]",1.3350147821152487,0.07003087135010644
2019-10-15,"['KDP', 'STX', 'WYNN', 'ROST', 'DVA', 'PAYX', 'ALL', 'GWW', 'MRK', 'CFG']","[0.29231442 0.18772703 0.15279741 0.14801011 0.10187574 0.06366116
 0.02700191 0.01324049 0.00823493 0.00513681]",1.4501732935966227,0.08025154962935648
2019-10-16,"['AJG', 'NOW', 'BWA', 'MMC', 'V', 'GRMN', 'LVS', 'ADI', 'DHI', 'UNP']","[0.34545459 0.18662738 0.13915423 0.10127112 0.08384229 0.08351487
 0.02864342 0.01487406 0.01254851 0.00406953]",1.0080436461894933,0.06162459668371208
2019-10-17,"['GL', 'PYPL', 'KDP', 'HAL', 'BIIB', 'LYB', 'TAP', 'GM', 'CINF', 'RCL']","[0.37014246 0.1719562  0.15423356 0.08567968 0.05970036 0.05444193
 0.05067549 0.03067789 0.0215285  0.00096393]",1.4315908643217516,0.09385997663944017
2019-10-18,"['KDP', 'TEL', 'KEY', 'JBHT', 'TJX', 'DHI', 'GD', 'FFIV', 'SBAC', 'PAYC']","[0.33158609 0.21387257 0.09282907 0.07959645 0.07653899 0.07207301
 0.06620174 0.03469047 0.01768862 0.01492299]",1.4434119796820821,0.08825018705276991
2019-10-21,"['KDP', 'SPGI', 'TEL', 'HAS', 'ETSY', 'WST', 'PHM', 'ABC', 'CZR', 'BG']","[0.34391979 0.13845024 0.09628551 0.08755062 0.07530655 0.07519948
 0.0598033  0.05071601 0.04785444 0.02491407]",1.355125669169841,0.08671790231634931
2019-10-22,"['KDP', 'DHR', 'COO', 'VRSK', 'GLW', 'OXY', 'CSX', 'DISH', 'NDSN', 'DXCM']","[0.27252222 0.1265368  0.11846214 0.11061721 0.10234848 0.06497806
 0.06350463 0.05711354 0.0469596  0.03695732]",1.2783648254507023,0.07568533703017924
2019-10-23,"['KDP', 'STZ', 'MAR', 'AON', 'TTWO', 'EPAM', 'QCOM', 'RHI', 'DLR', 'PAYX']","[0.32975803 0.27427285 0.10304858 0.07875267 0.07093    0.05189973
 0.03486026 0.02748786 0.01707291 0.01191709]",1.3783801234849427,0.08767602648223864
2019-10-24,"['KDP', 'TDY', 'AMT', 'DLTR', 'DXC', 'CPRT', 'RL', 'NFLX', 'AVB', 'SO']","[0.6290023  0.10726981 0.09097606 0.04883102 0.04589265 0.02027979
 0.01791448 0.01456462 0.01307546 0.01219381]",1.599674420997492,0.08201385020641613
2019-10-25,"['TEL', 'TXT', 'AXON', 'GPN', 'MRO', 'EXPE', 'STLD', 'MPC', 'GM', 'RVTY']","[0.3316017  0.16527299 0.15487448 0.08777006 0.0591126  0.05865935
 0.04985535 0.03829027 0.03048786 0.02407534]",1.4454555155631839,0.09014573043599426
2019-10-28,"['GNRC', 'MRO', 'VTRS', 'NDAQ', 'MHK', 'FRT', 'LVS', 'HES', 'RE', 'HSY']","[0.20141956 0.18462007 0.1765593  0.15827893 0.09130105 0.09008111
 0.06061006 0.01370065 0.01247735 0.01095192]",1.745565677148745,0.11601253315530748
2019-10-29,"['NOW', 'ABC', 'GNRC', 'SBUX', 'MRO', 'CSX', 'URI', 'CRL', 'SO', 'COST']","[0.48653082 0.15226778 0.12855272 0.05812564 0.05329444 0.03930486
 0.0291395  0.02155162 0.01719829 0.01403433]",1.249901360531025,0.08374132564260424
2019-10-30,"['TJX', 'F', 'PXD', 'KMX', 'BAX', 'ANSS', 'KMB', 'DD', 'TFC', 'SLB']","[0.4888479  0.09848349 0.0888627  0.07825936 0.06696921 0.04968933
 0.04449593 0.04123924 0.0230453  0.02010756]",1.3014520345718779,0.08991915447176259
2019-10-31,"['KDP', 'CCI', 'INCY', 'TJX', 'MCD', 'MA', 'EMR', 'COP', 'HRL', 'MAS']","[0.19084301 0.18974229 0.1478123  0.14346131 0.11685869 0.07659005
 0.06279501 0.04703496 0.01946402 0.00539836]",1.205850284831281,0.07637854873494979
2019-11-01,"['K', 'CVS', 'CSX', 'TXT', 'GNRC', 'WMB', 'ADSK', 'CNP', 'ABC', 'D']","[0.31776634 0.19794299 0.14898651 0.09325644 0.08876491 0.05514512
 0.0511525  0.03076184 0.00841687 0.00780647]",1.1255781961635716,0.06998140434143194
2019-11-04,"['TJX', 'BIIB', 'ADSK', 'TFX', 'FTNT', 'SEDG', 'MNST', 'UHS', 'EOG', 'PHM']","[0.45013961 0.15359745 0.12671901 0.07878154 0.04301016 0.04119319
 0.03629689 0.03034165 0.0257935  0.01412701]",1.470084261591853,0.09392842171546308
2019-11-05,"['TJX', 'BSX', 'ATO', 'JKHY', 'MKC', 'NOC', 'K', 'CTSH', 'CCI', 'DXC']","[0.35960013 0.26887944 0.19502954 0.08981346 0.03943895 0.03353213
 0.00738087 0.00361998 0.00223744 0.00046805]",1.333436450269958,0.08623055354602237
2019-11-06,"['KDP', 'MOS', 'GNRC', 'BBWI', 'PLD', 'STT', 'ABC', 'WMT', 'MPWR', 'PHM']","[0.24864562 0.24284566 0.14814754 0.10826157 0.06656389 0.05900339
 0.04600161 0.03179311 0.02740508 0.02133251]",1.4537622098686123,0.08457686547496004
2019-11-07,"['WAT', 'TEL', 'STE', 'BAX', 'GNRC', 'MRO', 'JKHY', 'CMA', 'CRM', 'EXC']","[0.18828845 0.18215926 0.15923751 0.13636476 0.130463   0.10815324
 0.04596304 0.03659215 0.00682333 0.00595526]",1.5719221463586526,0.11280354516843331
2019-11-08,"['ATO', 'MRO', 'IDXX', 'GRMN', 'GILD', 'LDOS', 'BAX', 'IP', 'APD', 'ESS']","[0.20142396 0.19868099 0.14983363 0.13413379 0.08010797 0.06140128
 0.05661721 0.04365983 0.03941118 0.03473015]",1.6779686275205363,0.11452297938089506
2019-11-11,"['TEL', 'ADSK', 'TYL', 'UAL', 'UPS', 'KDP', 'RCL', 'LNT', 'EOG', 'RF']","[0.31906325 0.28129732 0.10421156 0.07198024 0.05390894 0.05228353
 0.03731088 0.03460498 0.02401045 0.02132887]",1.5579065259155183,0.10454011270055463
2019-11-12,"['ATO', 'KDP', 'HOLX', 'MRO', 'HD', 'SYK', 'ZBRA', 'VLO', 'LVS', 'NKE']","[0.23376078 0.21884728 0.12954386 0.10046176 0.09976952 0.07443058
 0.04365677 0.04204299 0.0389034  0.01858306]",1.1765580946904663,0.0742240454324628
2019-11-13,"['KDP', 'FRT', 'PRU', 'MRO', 'WYNN', 'BBWI', 'FDX', 'ALLE', 'CPB', 'JPM']","[0.37354846 0.21374498 0.13315091 0.06901911 0.06582383 0.0503568
 0.03804648 0.03359588 0.01844375 0.00426981]",1.3639868568738067,0.08756355947057208
2019-11-14,"['TJX', 'KO', 'MGM', 'ATVI', 'AXON', 'MAR', 'OMC', 'IVZ', 'GE', 'KEYS']","[0.41324783 0.11981689 0.11802029 0.09405307 0.09304603 0.05271202
 0.04385228 0.04026448 0.01499089 0.00999622]",1.4185280699983571,0.09840071358606672
