Date,tickers,weights,return,risk
2019-10-01,"['TJX', 'MCD', 'IT', 'ABT', 'BG', 'PWR', 'RMD', 'CMA', 'PPG', 'EXR']","[0.49740627 0.14062808 0.06246767 0.05613319 0.04693257 0.04607406
 0.04317475 0.03966701 0.03682325 0.03069316]",1.5280484689040514,0.09096633985738402
2019-10-02,"['KDP', 'MRO', 'HII', 'IQV', 'EW', 'ALL', 'MCO', 'ODFL', 'GLW', 'PRU']","[0.454009   0.1080611  0.09381278 0.07964027 0.07493038 0.0735934
 0.07078284 0.03495487 0.0067218  0.00349357]",1.7386817896036986,0.09708463446063902
2019-10-03,"['PYPL', 'KDP', 'RVTY', 'BSX', 'CTRA', 'COF', 'ON', 'GM', 'SCHW', 'CNP']","[0.23922205 0.14759544 0.1411427  0.1317156  0.08711941 0.08086898
 0.07611105 0.04718294 0.03609998 0.01294184]",1.100186701613501,0.07136575924346926
2019-10-04,"['MCK', 'TJX', 'ABC', 'LOW', 'KDP', 'NWS', 'AOS', 'TSCO', 'TFX', 'NWSA']","[0.21294214 0.19670991 0.15668629 0.10714924 0.10104843 0.09549332
 0.07037015 0.04456062 0.01036076 0.00467914]",1.0549069292596782,0.07519092493170916
2019-10-07,"['GE', 'TFC', 'CSX', 'REGN', 'NTAP', 'BRO', 'MAR', 'KO', 'WM', 'NEM']","[0.39880512 0.21912637 0.12784305 0.11708529 0.0369601  0.0299039
 0.02790985 0.02250723 0.01091627 0.00894283]",1.4277424249590522,0.098768710786234
2019-10-08,"['TJX', 'KDP', 'GILD', 'MTD', 'WBD', 'PH', 'WFC', 'D', 'MPC', 'GD']","[0.2683359  0.22098614 0.13178459 0.08424957 0.08186614 0.07330463
 0.06464009 0.03769121 0.02930169 0.00784005]",1.355099221893982,0.08073134513827676
2019-10-09,"['GL', 'TJX', 'AXON', 'DOV', 'AMD', 'EXPE', 'MCD', 'SJM', 'ABBV', 'VMC']","[0.24544308 0.20155108 0.1360439  0.11360702 0.07960872 0.07436857
 0.05541772 0.04183987 0.03124769 0.02087236]",1.1395046309942776,0.07460882050164605
2019-10-10,"['BKR', 'TJX', 'MTD', 'AVY', 'ANET', 'CMCSA', 'ACGL', 'ROP', 'HSY', 'FIS']","[0.26936481 0.25314171 0.20812741 0.09821622 0.07093105 0.04023218
 0.0272563  0.02458461 0.00782982 0.00031588]",1.2229903799669057,0.07931081941064143
2019-10-11,"['KDP', 'MRO', 'ZBRA', 'JKHY', 'XRAY', 'NXPI', 'CMCSA', 'LOW', 'WAT', 'NFLX']","[0.40432971 0.17631072 0.11203467 0.08354774 0.05146717 0.05011916
 0.03866412 0.0303269  0.02745251 0.02574729]",1.7012333646944013,0.11512272655357009
2019-10-14,"['KDP', 'MGM', 'TJX', 'DLTR', 'WY', 'MHK', 'PWR', 'MOS', 'ROST', 'MS']","[0.44582142 0.13521266 0.11478755 0.07166972 0.04992519 0.04782604
 0.04761697 0.04481942 0.02309613 0.01922491]",1.489653552479656,0.08210282826411194
2019-10-15,"['SBAC', 'CTRA', 'NDAQ', 'PSX', 'KMX', 'TFC', 'KMB', 'BK', 'ADM', 'MA']","[0.27401554 0.19961651 0.11628005 0.1082035  0.08943287 0.07250221
 0.05535351 0.04991901 0.0210679  0.01360889]",1.8982899206760608,0.11418777957724607
2019-10-16,"['BKR', 'TJX', 'KMI', 'TPR', 'GNRC', 'PEG', 'BR', 'DXC', 'LKQ', 'KR']","[0.1995259  0.19765298 0.17431104 0.13441188 0.07661654 0.05905282
 0.05887577 0.04421144 0.02768122 0.02766039]",1.2149255790234226,0.07360847535692606
2019-10-17,"['ATO', 'NOW', 'MKC', 'MRO', 'NDAQ', 'HES', 'TAP', 'DE', 'ACN', 'LVS']","[0.32281176 0.21791413 0.11886391 0.07659175 0.07448003 0.05115738
 0.04966737 0.0438063  0.03420794 0.01049943]",1.1457486056863333,0.07622507666315538
2019-10-18,"['KDP', 'HSY', 'SBUX', 'AJG', 'KIM', 'JKHY', 'GRMN', 'SPG', 'BR', 'AAL']","[0.48640331 0.13916987 0.10423398 0.08885792 0.04423169 0.03942244
 0.03008255 0.02890366 0.02303418 0.0156604 ]",1.3437020455440916,0.0788947640289035
