Date,tickers,weights,return,risk
2019-10-01,"['KDP', 'SJM', 'ATVI', 'NOW', 'FMC', 'TSN', 'LUV', 'EOG', 'SEE', 'FTNT']","[0.48376092 0.14952519 0.08765901 0.07130956 0.04952651 0.04679179
 0.03935068 0.03677692 0.02744462 0.00785479]",1.3280027984927756,0.07627460751358665
2019-10-02,"['KDP', 'NWS', 'ADSK', 'VZ', 'ATO', 'TFC', 'NWL', 'ES', 'APTV', 'BBWI']","[0.28761835 0.2030193  0.15259084 0.11330661 0.0902323  0.06658056
 0.04645639 0.01747062 0.01541387 0.00731116]",1.4284678380066138,0.08931132863825338
2019-10-03,"['KDP', 'ATO', 'COF', 'RF', 'VLO', 'TFC', 'TDY', 'SYF', 'CBRE', 'CMA']","[0.41710335 0.1645412  0.09882014 0.09468918 0.09327739 0.0582335
 0.03896275 0.02168784 0.01169718 0.00098747]",1.366841345227818,0.08175414108722445
2019-10-04,"['AXON', 'NDAQ', 'BWA', 'GIS', 'ALK', 'TFC', 'UAL', 'HPQ', 'LNT', 'KR']","[0.23689677 0.15450595 0.15278059 0.14938833 0.13362205 0.083049
 0.04985272 0.03069678 0.00744196 0.00176586]",1.4275286691081843,0.08869960087502224
2019-10-07,"['KDP', 'MGM', 'VZ', 'GWW', 'NDAQ', 'IP', 'AON', 'MMM', 'JCI', 'MKC']","[0.38723134 0.12224183 0.11320182 0.08541473 0.07598267 0.06243718
 0.05234074 0.04754668 0.02982006 0.02378295]",1.2851186806506982,0.07546439305440297
2019-10-08,"['MCK', 'KDP', 'SBAC', 'CBOE', 'AVY', 'ROST', 'FICO', 'MKC', 'BKR', 'VTR']","[0.35676247 0.30917264 0.07098945 0.06860594 0.05352849 0.04430201
 0.03083428 0.02609104 0.02232642 0.01738727]",1.3270470488992407,0.07063898435828737
2019-10-09,"['KDP', 'AMCR', 'TPR', 'HII', 'HSIC', 'PRU', 'BXP', 'DHI', 'MS', 'AVB']","[0.45065893 0.17844313 0.11380522 0.08015066 0.05390761 0.0372972
 0.03706988 0.03662051 0.0086222  0.00342467]",1.322433482770508,0.08846376726454586
2019-10-10,"['KDP', 'STZ', 'MPC', 'DISH', 'MRO', 'TSCO', 'DXC', 'MCD', 'WRK', 'PXD']","[0.37495195 0.10622851 0.09583283 0.09579904 0.08871612 0.08746289
 0.06016567 0.03726093 0.03651667 0.01706538]",1.756198052302277,0.10341804804901529
2019-10-11,"['PKG', 'TJX', 'NOW', 'GE', 'IEX', 'MO', 'CAG', 'ROP', 'RTX', 'AON']","[0.18776947 0.18125459 0.1794665  0.11164287 0.1114059  0.08504029
 0.07758863 0.04441633 0.01326588 0.00814955]",1.0411435352532048,0.07021143980721592
2019-10-14,"['CTRA', 'DVA', 'JCI', 'GIS', 'QCOM', 'WAB', 'UPS', 'SHW', 'ROP', 'ZBH']","[0.21262377 0.159795   0.13682644 0.12672833 0.12646715 0.08294397
 0.06879683 0.03901743 0.03225867 0.01454241]",1.0764406242582731,0.07215352648191932
2019-10-15,"['KDP', 'COO', 'HAS', 'LMT', 'APD', 'XOM', 'TYL', 'EMR', 'STZ', 'IT']","[0.42736233 0.17091826 0.11472542 0.0906618  0.06361694 0.03542958
 0.02990102 0.02505391 0.02471109 0.01761965]",1.3102006811669957,0.08493946246881233
2019-10-16,"['BKR', 'KDP', 'CPB', 'VRSK', 'CVX', 'FMC', 'ALLE', 'COF', 'AMP', 'VRTX']","[0.32513171 0.20460327 0.12971745 0.08122753 0.07575546 0.07509148
 0.04598925 0.03560918 0.02139863 0.00547605]",1.1848251971095074,0.07974694198468171
2019-10-17,"['KDP', 'AJG', 'RE', 'AIZ', 'PPL', 'MCD', 'ITW', 'PTC', 'EQT', 'AMAT']","[0.35870968 0.31384066 0.07984106 0.07758037 0.06971935 0.052455
 0.01649281 0.0155972  0.01490115 0.00086271]",1.355992793366442,0.07356399667064972
