Date,tickers,weights,return,risk
2019-10-01,"['CMCSA', 'APD', 'PNW', 'CAT', 'EA', 'MAS', 'ALGN', 'APA', 'LKQ', 'NTAP']","[0.34496644 0.15381457 0.14189389 0.13435176 0.09010574 0.04535801
 0.03918106 0.02422562 0.01744336 0.00865955]",5.038789338305378,0.03652812864521267
2019-10-02,"['MAA', 'OKE', 'CPT', 'DG', 'REGN', 'INTC', 'DTE', 'HIG', 'EIX', 'EMN']","[0.32892441 0.26017517 0.21750214 0.06544689 0.03334712 0.0304338
 0.02963734 0.01869491 0.01379418 0.00204402]",5.166701343730642,0.03332929236254849
2019-10-03,"['HOLX', 'MDLZ', 'COF', 'BBY', 'LNT', 'JPM', 'IQV', 'NRG', 'LMT', 'KMI']","[0.36291331 0.13834271 0.11535387 0.10816385 0.10030993 0.05475256
 0.05243137 0.04623849 0.01173245 0.00976147]",4.500272695037838,0.037139986503237465
2019-10-04,"['KDP', 'MTCH', 'JNJ', 'RTX', 'CHD', 'NDAQ', 'GNRC', 'QRVO', 'STT', 'ANET']","[0.39757134 0.19697015 0.12117612 0.08029412 0.06511156 0.05691634
 0.04704148 0.01742117 0.01070275 0.00679497]",9.100828034063301,0.07073184263996116
2019-10-07,"['COF', 'NOW', 'ADP', 'KDP', 'PAYC', 'ETSY', 'ANET', 'CINF', 'ITW', 'NRG']","[0.21206989 0.21155838 0.14577145 0.12415093 0.09104738 0.07855729
 0.0767896  0.02923925 0.02140567 0.00941018]",6.721778592684029,0.05243373697433775
2019-10-08,"['BBY', 'MCO', 'SRE', 'AIZ', 'KHC', 'LIN', 'PAYC', 'ALL', 'NWL', 'BXP']","[0.15602209 0.15573434 0.14077094 0.12512692 0.12198274 0.09452781
 0.08625494 0.07671152 0.02924489 0.01362383]",5.406749141779761,0.04247520037166584
2019-10-09,"['MLM', 'PEAK', 'SWK', 'WELL', 'AZO', 'SPGI', 'C', 'EQIX', 'UNH', 'ORLY']","[0.28127715 0.26339742 0.1253387  0.11103252 0.07681996 0.06874491
 0.03960359 0.0175396  0.01431785 0.00192829]",3.770032801250115,0.03101167726732387
2019-10-10,"['SWK', 'ZBH', 'PCG', 'STE', 'MET', 'QRVO', 'PSX', 'TTWO', 'IQV', 'SHW']","[0.46729617 0.18409236 0.1455028  0.0613114  0.04550207 0.03565308
 0.03007553 0.01765744 0.00736755 0.00554161]",5.2601430870967905,0.03585763059827204
2019-10-11,"['CPT', 'NOW', 'CAT', 'HPQ', 'IDXX', 'SYK', 'PHM', 'TAP', 'EPAM', 'NWSA']","[0.49972578 0.1869028  0.09671524 0.05259068 0.04471532 0.04026847
 0.02662853 0.02066758 0.01813206 0.01365353]",5.078098480891183,0.031496918517418086
2019-10-14,"['TGT', 'MAA', 'WMT', 'MRK', 'CAT', 'MOH', 'PHM', 'ALB', 'ROL', 'MDT']","[0.29515692 0.15504073 0.11285987 0.09331216 0.08745743 0.07996765
 0.0588208  0.04336445 0.03772062 0.03629937]",4.841577788862587,0.04070715376598217
2019-10-15,"['HOLX', 'MLM', 'ARE', 'IEX', 'MAA', 'CHD', 'CI', 'ZTS', 'MOS', 'RMD']","[0.16985973 0.16879467 0.14573723 0.14319001 0.11553185 0.08115383
 0.06207087 0.04857173 0.03474224 0.03034783]",4.404083190031571,0.03743684518112727
2019-10-16,"['KDP', 'PEP', 'MAA', 'PEAK', 'FTNT', 'HAS', 'UAL', 'JPM', 'HAL', 'CCL']","[0.32745803 0.21072209 0.17366108 0.10867838 0.04630699 0.045735
 0.03265842 0.02990254 0.01680553 0.00807192]",7.659787412642855,0.05826313418573747
2019-10-17,"['SRE', 'KDP', 'CPT', 'JBHT', 'DG', 'EXC', 'MET', 'ALLE', 'EQT', 'CBRE']","[0.31151061 0.26925206 0.19606804 0.08639614 0.03833324 0.03005566
 0.02457259 0.02058254 0.01979004 0.00343909]",7.296473506503062,0.051574318938596195
2019-10-18,"['CMI', 'SWK', 'KR', 'PKG', 'IEX', 'MTCH', 'HOLX', 'MA', 'WTW', 'MAA']","[0.31987798 0.20086508 0.1161598  0.11264847 0.08678784 0.07280619
 0.04101427 0.03904496 0.00936857 0.00142683]",4.377486613452739,0.03595963628505336
2019-10-21,"['ROST', 'PCG', 'VZ', 'NOW', 'KDP', 'MCHP', 'CFG', 'EXC', 'UPS', 'ZTS']","[0.24299516 0.2193653  0.161111   0.13249201 0.12041598 0.05393741
 0.04455023 0.01385741 0.00631612 0.00495938]",5.823697500699169,0.04825909757715193
2019-10-22,"['CPT', 'WHR', 'EMR', 'ARE', 'WRB', 'HII', 'GIS', 'EFX', 'AWK', 'CI']","[0.34837012 0.23887494 0.15857355 0.09202765 0.06205483 0.03660594
 0.01669226 0.01644608 0.01547156 0.01488307]",3.794410574743255,0.02963484332594032
2019-10-23,"['ARE', 'PEP', 'RTX', 'POOL', 'NI', 'PPG', 'GL', 'AMP', 'STZ', 'AOS']","[0.30238525 0.20246041 0.18412623 0.10719074 0.09322709 0.07490639
 0.02435434 0.00843621 0.00239872 0.00051463]",4.641787484845659,0.034240621426427115
2019-10-24,"['KLAC', 'BKNG', 'LH', 'KDP', 'OKE', 'SRE', 'LVS', 'REGN', 'VZ', 'ON']","[0.18733693 0.17964522 0.13603375 0.13048605 0.12266541 0.09676367
 0.05323968 0.04365262 0.03220964 0.01796703]",6.2579090253134675,0.04957192224854074
2019-10-25,"['CPT', 'BALL', 'CINF', 'FANG', 'CMI', 'WEC', 'PYPL', 'PHM', 'LRCX', 'CLX']","[0.52915542 0.11097802 0.07719598 0.06120603 0.05935071 0.05369591
 0.04669481 0.03422277 0.01392445 0.01357589]",3.8824044070872104,0.029993875941672393
2019-10-28,"['CPT', 'PLD', 'BLK', 'HON', 'SPGI', 'DLTR', 'APD', 'UNH', 'NFLX', 'DAL']","[0.4884706  0.14045044 0.10055952 0.07626816 0.075919   0.06934828
 0.01625671 0.0138801  0.01303255 0.00581465]",4.117411313814957,0.030116890078201404
2019-10-29,"['KDP', 'WAT', 'TDY', 'NOW', 'ZBH', 'ALL', 'TEL', 'PG', 'WBA', 'CMCSA']","[0.22051882 0.16228094 0.14514058 0.10349822 0.1015023  0.10098809
 0.05667216 0.05041403 0.03539012 0.02359475]",7.199329926583699,0.05530212003516818
2019-10-30,"['EQR', 'VRTX', 'MSI', 'MU', 'DG', 'APD', 'SCHW', 'TFX', 'LUV', 'PSA']","[0.34465004 0.12506887 0.10677837 0.10475679 0.08888236 0.08246951
 0.07837239 0.05409905 0.00782775 0.00709487]",5.566540291216293,0.04835566600890431
2019-10-31,"['CMCSA', 'DOV', 'ODFL', 'NDSN', 'KDP', 'STE', 'PAYC', 'AON', 'RF', 'LKQ']","[0.34516456 0.16397692 0.16043661 0.12136381 0.06597472 0.05526069
 0.0309264  0.02641583 0.02437646 0.006104  ]",5.428366030860712,0.03262369888249977
2019-11-01,"['EQR', 'KDP', 'HBAN', 'ODFL', 'UAL', 'TEL', 'KR', 'MAR', 'V', 'REGN']","[0.29351055 0.19016403 0.12068523 0.11021614 0.05925985 0.05750189
 0.05650564 0.0542411  0.04551299 0.01240259]",6.759264561923267,0.0474222611403087
2019-11-04,"['CPT', 'ALL', 'LNT', 'LRCX', 'EFX', 'ADSK', 'IFF', 'MRO', 'PG', 'LLY']","[0.7049513  0.18197411 0.04737592 0.01523351 0.01326846 0.01156541
 0.0077895  0.00718162 0.00644357 0.0042166 ]",4.486201590816872,0.0245104970229711
2019-11-05,"['AVB', 'KDP', 'ETN', 'EA', 'ANSS', 'RHI', 'CHTR', 'NOW', 'FAST', 'IT']","[0.21257948 0.1990137  0.18571792 0.17920822 0.07228598 0.07185541
 0.04666774 0.01183654 0.01078292 0.01005209]",6.674227878832915,0.05154548763135573
2019-11-06,"['WMT', 'MAR', 'PAYC', 'APD', 'NWSA', 'LIN', 'BR', 'OKE', 'CME', 'CBOE']","[0.22664969 0.19103765 0.15455947 0.14617057 0.12249928 0.06595467
 0.04033683 0.0357389  0.00983662 0.00721633]",5.144648651526672,0.04144242958131359
2019-11-07,"['EQR', 'PCG', 'ATVI', 'EIX', 'MS', 'AEP', 'TGT', 'WELL', 'PNR', 'DE']","[0.26000329 0.1519983  0.13480644 0.12997358 0.08816709 0.08407758
 0.06567824 0.05046203 0.02756046 0.007273  ]",5.392687371908969,0.0441766659428657
2019-11-08,"['SRE', 'PLD', 'MTD', 'CDW', 'HUM', 'EXPD', 'POOL', 'CBRE', 'TXN', 'AIG']","[0.2914428  0.27423292 0.12741376 0.09682749 0.06458478 0.0388808
 0.03576918 0.03060284 0.02026847 0.01997697]",4.337010078181478,0.03497964352036095
2019-11-11,"['PLD', 'J', 'KDP', 'ZBRA', 'NWS', 'ON', 'IDXX', 'MOS', 'TDY', 'MOH']","[0.30854482 0.22245863 0.17153367 0.09971022 0.07091169 0.04549236
 0.04156068 0.02190014 0.01731305 0.00057474]",5.797794209445549,0.050913747206902324
2019-11-12,"['CPT', 'V', 'ETSY', 'ADI', 'NDAQ', 'GLW', 'CME', 'A', 'LDOS', 'RJF']","[5.25448063e-01 2.12837834e-01 9.52115463e-02 4.20634269e-02
 4.19586019e-02 2.43042452e-02 2.11331765e-02 1.96194717e-02
 1.71866781e-02 2.36956707e-04]",4.51825589463875,0.03626478503390903
2019-11-13,"['WRB', 'SRE', 'HOLX', 'CHTR', 'CPRT', 'IEX', 'EA', 'ACGL', 'KDP', 'MOH']","[0.26967926 0.15309882 0.12921515 0.11298171 0.08649458 0.07517429
 0.04863459 0.04807138 0.04614364 0.03050659]",5.528899163783157,0.04511974475511509
2019-11-14,"['PAYC', 'MLM', 'WMT', 'VZ', 'SBUX', 'CDW', 'CB', 'ANSS', 'SLB', 'CNC']","[0.25297196 0.21909952 0.18499524 0.16175562 0.07273282 0.03216278
 0.02839502 0.02039057 0.01733845 0.01015801]",4.923759886950434,0.03993905907130435
2019-11-15,"['KDP', 'AZO', 'HRL', 'PAYC', 'GILD', 'MA', 'MAS', 'TMO', 'WELL', 'MNST']","[0.24023688 0.1525049  0.14184425 0.10672916 0.09655884 0.08856269
 0.07528055 0.05179438 0.02451017 0.02197818]",6.958234318026532,0.05943270255369698
2019-11-18,"['WMT', 'MCHP', 'KDP', 'J', 'CSGP', 'ODFL', 'PGR', 'CPRT', 'MDT', 'SLB']","[0.22139233 0.13723576 0.13246248 0.13028768 0.09010903 0.08463478
 0.05785615 0.05351248 0.04958398 0.04292532]",6.029588410892822,0.04882841293910414
