Date,tickers,weights,return,risk
2019-10-01,"['ILMN', 'ARE', 'MO', 'PFE', 'HSIC', 'CAH', 'ETSY', 'FCX', 'MOH', 'AKAM']","[0.28721872 0.16362047 0.15060448 0.11627642 0.1157205  0.0766915
 0.03982801 0.03330084 0.00865786 0.0080812 ]",1.0927650593021312,0.07251384047997025
2019-10-02,"['CNC', 'DPZ', 'JPM', 'EMN', 'GNRC', 'DIS', 'NOC', 'CDW', 'GOOGL', 'SBAC']","[0.26252756 0.19018718 0.17865662 0.13163282 0.06357519 0.04214779
 0.03774619 0.03749815 0.02922648 0.026802  ]",1.4307769500060656,0.08931033222338432
2019-10-03,"['AMCR', 'DPZ', 'MRK', 'NWSA', 'NWS', 'WMB', 'VTR', 'GOOGL', 'PNC', 'HCA']","[0.31745389 0.20964007 0.1268694  0.09217129 0.0791621  0.06776453
 0.04746718 0.03798448 0.01912447 0.00236259]",1.4399737011983054,0.09542863393209709
2019-10-04,"['AMCR', 'EL', 'WBD', 'RHI', 'EXPD', 'URI', 'ILMN', 'TYL', 'MTD', 'AIG']","[0.20046356 0.19770779 0.18684519 0.1434782  0.10804582 0.07123494
 0.06940256 0.00932002 0.00722286 0.00627906]",1.4790534886195157,0.08932438778927802
2019-10-07,"['PEAK', 'HAL', 'EXPD', 'JPM', 'PWR', 'MO', 'SCHW', 'PH', 'KHC', 'VTRS']","[0.31084043 0.21738133 0.13768509 0.13494869 0.04842022 0.04315155
 0.04030339 0.03730166 0.02113938 0.00882828]",1.542830862569367,0.08011863093809453
2019-10-08,"['AMCR', 'CMI', 'HCA', 'PNW', 'KO', 'ESS', 'WBD', 'ROK', 'KMX', 'O']","[0.32008584 0.15882362 0.15249794 0.07500882 0.06189354 0.0611979
 0.05809517 0.05652371 0.03591462 0.01995883]",1.1565693982061835,0.07420915681269759
2019-10-09,"['MCO', 'HON', 'CMI', 'GS', 'TRV', 'BEN', 'WYNN', 'MO', 'ADM', 'AAP']","[0.3642514  0.27562865 0.11925236 0.07086756 0.05820446 0.04443728
 0.03338946 0.01653158 0.0097015  0.00773575]",1.681798030334304,0.08837032484758767
2019-10-10,"['MRK', 'EOG', 'CHD', 'HON', 'BWA', 'RCL', 'BG', 'MLM', 'PEG', 'UDR']","[0.33502214 0.21550074 0.12082045 0.1196567  0.0622744  0.04366475
 0.03563997 0.03502241 0.02321611 0.00918233]",1.2889929229969643,0.07645547948055416
2019-10-11,"['ADM', 'BXP', 'LUV', 'NI', 'EXPD', 'ORCL', 'AAPL', 'GIS', 'FTNT', 'HOLX']","[0.2170041  0.19070883 0.1842822  0.17543182 0.06466843 0.06381235
 0.03385212 0.03283759 0.02800132 0.00940124]",1.5537710526666504,0.10605296440934776
2019-10-14,"['SO', 'ADM', 'COP', 'EXPD', 'LLY', 'MA', 'EVRG', 'HD', 'VMC', 'ECL']","[0.28414708 0.21025098 0.20011901 0.13244313 0.05853188 0.05134335
 0.02986334 0.02183671 0.00594977 0.00551475]",1.9411689165360946,0.11912967762230948
