Date,tickers,weights,return,risk
2019-10-01,"['ALLE', 'DGX', 'VRSN', 'WM', 'PGR', 'ADBE', 'PPG', 'K', 'PXD', 'ZBRA']","[3.96347032e-01 1.48878031e-01 1.22333997e-01 8.45136205e-02
 7.75960433e-02 7.35732713e-02 4.48042977e-02 3.47473207e-02
 1.71132519e-02 9.31346506e-05]",0.10015036253637974,0.062442210285243965
2019-10-02,"['ALLE', 'IFF', 'AMAT', 'RCL', 'TRMB', 'STE', 'TROW', 'LOW', 'TSCO', 'VTRS']","[0.37537879 0.15282169 0.10002878 0.09946915 0.07715375 0.04964081
 0.04791205 0.04551083 0.0392504  0.01283376]",0.1117113944339674,0.07336150009813747
2019-10-03,"['ALLE', 'IEX', 'FE', 'AZO', 'VTRS', 'PPG', 'AAPL', 'NXPI', 'VFC', 'MCO']","[0.50126747 0.09578673 0.09270115 0.07805593 0.0585897  0.05125302
 0.04707227 0.03281929 0.02398594 0.0184685 ]",0.14303483060340325,0.06276430370712742
2019-10-04,"['ALLE', 'MNST', 'CTAS', 'TROW', 'STZ', 'ROST', 'IRM', 'VZ', 'AMT', 'PPG']","[0.51622837 0.11531542 0.10561456 0.08807192 0.06937288 0.06146697
 0.01961023 0.01063649 0.00828817 0.005395  ]",0.16016191668926344,0.06920818812914205
2019-10-07,"['ALLE', 'POOL', 'GM', 'PPL', 'BSX', 'HST', 'ALL', 'CMA', 'AXON', 'EQR']","[5.51657949e-01 1.18519773e-01 1.01718315e-01 6.31114382e-02
 4.63905702e-02 3.93827959e-02 3.83512027e-02 2.98985187e-02
 1.08928551e-02 7.65814630e-05]",0.16144840764508947,0.06687335568069638
2019-10-08,"['ALLE', 'TFX', 'EXR', 'AIG', 'MPC', 'CFG', 'TXN', 'FTNT', 'CAH', 'GOOG']","[5.74091506e-01 1.89609977e-01 7.08907844e-02 4.30370799e-02
 3.98223690e-02 2.65839288e-02 2.42859083e-02 1.78479631e-02
 1.33643203e-02 4.66163479e-04]",0.15651070858378535,0.07387942750159075
2019-10-09,"['ALLE', 'AMT', 'CSCO', 'BIO', 'ZION', 'PWR', 'VTRS', 'USB', 'IVZ', 'AEE']","[0.67990939 0.07535347 0.06353708 0.04713454 0.04696547 0.03896054
 0.02249087 0.02022479 0.00282995 0.0025939 ]",0.17556634519295186,0.07692175716538689
2019-10-10,"['ALLE', 'XYL', 'CME', 'MMC', 'PH', 'VRSK', 'PNC', 'BG', 'CCI', 'BXP']","[0.30123384 0.1256829  0.10718071 0.10253192 0.09154856 0.0880587
 0.0818687  0.06387774 0.03407281 0.00394413]",0.09078824842412768,0.05348128412079987
2019-10-11,"['ALLE', 'MMC', 'LLY', 'CNC', 'EPAM', 'EXC', 'AES', 'AKAM', 'TDY', 'PCAR']","[0.39601158 0.23463645 0.14452014 0.07036844 0.06397956 0.04300771
 0.01719508 0.01433069 0.01076322 0.00518712]",0.13140993037658705,0.05645009256979459
2019-10-14,"['ALLE', 'WYNN', 'DPZ', 'BSX', 'ITW', 'VTR', 'GOOGL', 'MRK', 'TRMB', 'PPL']","[0.67351391 0.08404602 0.05796286 0.0515408  0.04599584 0.03531974
 0.02533306 0.00962296 0.00840123 0.00826357]",0.18214340501400794,0.08111384055921472
2019-10-15,"['ALLE', 'CME', 'DLR', 'IPG', 'AEE', 'MPC', 'NWSA', 'CVX', 'CZR', 'BALL']","[0.50687809 0.21680959 0.08639903 0.05368365 0.0369635  0.025147
 0.02388245 0.01986664 0.01762674 0.01274332]",0.13711075733621303,0.059041811363107294
2019-10-16,"['ALLE', 'ED', 'HD', 'CAH', 'KO', 'MDT', 'DHR', 'APTV', 'DAL', 'FIS']","[0.62829762 0.08413666 0.06597667 0.06417153 0.05023008 0.04074631
 0.03643214 0.0164096  0.01090533 0.00269407]",0.16060575181821862,0.07140401576346521
2019-10-17,"['ALLE', 'AVGO', 'L', 'DHI', 'SYY', 'SWKS', 'CDNS', 'CNC', 'MDLZ', 'IT']","[0.47797399 0.11672127 0.11511348 0.08330674 0.05705698 0.04001781
 0.02940581 0.02884655 0.0265973  0.02496007]",0.12558895340244872,0.06003278731127627
2019-10-18,"['ALLE', 'USB', 'WRK', 'UNP', 'NEM', 'ICE', 'EQIX', 'QRVO', 'FISV', 'EFX']","[0.33661744 0.1643598  0.10049451 0.09072181 0.08252703 0.0652002
 0.06394821 0.05176587 0.03854358 0.00582154]",0.08563500558794776,0.07104094063242304
2019-10-21,"['ALLE', 'DOV', 'UNP', 'DTE', 'SBUX', 'KEYS', 'NOW', 'KO', 'SJM', 'TXN']","[0.38190227 0.25326427 0.11550396 0.05485606 0.05442169 0.04451956
 0.04382657 0.02481306 0.01643729 0.01045526]",0.1433540506853794,0.07815772351631906
2019-10-22,"['ALLE', 'TMO', 'AJG', 'WEC', 'TFX', 'ORLY', 'HBAN', 'HSIC', 'BKR', 'CZR']","[3.67667191e-01 2.46569855e-01 1.33385725e-01 1.32033680e-01
 4.16291419e-02 3.05276037e-02 2.87645535e-02 1.40955035e-02
 5.28047928e-03 4.62680511e-05]",0.10681360178748714,0.05847135327726133
2019-10-23,"['ALLE', 'AEE', 'LH', 'FRT', 'MMM', 'YUM', 'CSGP', 'HCA', 'MCHP', 'CPB']","[0.5013837  0.11348656 0.09041721 0.08789909 0.04702662 0.03712704
 0.03678724 0.03440152 0.03172292 0.01974811]",0.12131911739474231,0.061947159734869375
2019-10-24,"['ALLE', 'AJG', 'ZTS', 'AMCR', 'BWA', 'URI', 'HBAN', 'ETSY', 'USB', 'QCOM']","[0.29617476 0.21609739 0.12448003 0.10075674 0.08875672 0.05912669
 0.03891004 0.03403917 0.03217585 0.0094826 ]",0.08046849443690648,0.06486436144823554
2019-10-25,"['ALLE', 'SBAC', 'CI', 'CFG', 'ROK', 'ETR', 'AON', 'PNR', 'RE', 'CAT']","[0.39891168 0.21233503 0.10199787 0.06991713 0.05979355 0.05915064
 0.05500673 0.03086021 0.01069496 0.0013322 ]",0.09256939462653685,0.07054948485799847
2019-10-28,"['ALLE', 'MA', 'MKTX', 'AJG', 'PTC', 'MDT', 'ETSY', 'SBUX', 'MKC', 'ON']","[0.23960095 0.17152555 0.10924617 0.10181199 0.09457456 0.09235577
 0.09213617 0.06106196 0.02272876 0.01495813]",0.0685128148379113,0.06392257440975137
2019-10-29,"['ALLE', 'FE', 'RSG', 'NFLX', 'ORLY', 'ROST', 'ABBV', 'UNH', 'CMI', 'PODD']","[0.32460827 0.12591029 0.12502827 0.12299845 0.09457458 0.06866673
 0.05452232 0.03310937 0.028474   0.02210772]",0.08921919105130836,0.06578425109175971
2019-10-30,"['PLD', 'ALLE', 'CCI', 'FIS', 'PM', 'WBD', 'TRGP', 'JPM', 'PCAR', 'VFC']","[4.02173798e-01 3.41935527e-01 1.62532175e-01 3.13529924e-02
 2.21856215e-02 1.57133304e-02 1.29549870e-02 6.87323217e-03
 4.03777120e-03 2.40564837e-04]",0.08336776030664529,0.07007987005605215
2019-10-31,"['ALLE', 'IEX', 'REGN', 'CPRT', 'NOW', 'DLTR', 'AEP', 'CTRA', 'NFLX', 'META']","[0.26064418 0.20914156 0.19660203 0.13689915 0.07812199 0.05356217
 0.02043184 0.01790254 0.01639074 0.0103038 ]",0.0877014431034846,0.09570984184979554
2019-11-01,"['EPAM', 'FDS', 'NEE', 'CDW', 'WM', 'DTE', 'BRO', 'ENPH', 'PAYC', 'BALL']","[0.2015968  0.1621456  0.15495249 0.13072732 0.10560295 0.06549539
 0.06121175 0.0508799  0.04850716 0.01888063]",0.0724963437168834,0.0714011977493519
2019-11-04,"['ALLE', 'PGR', 'ES', 'GL', 'FRT', 'HRL', 'PFE', 'MPWR', 'HOLX', 'XRAY']","[0.34087535 0.25107853 0.1183346  0.11223257 0.07507943 0.02977668
 0.021631   0.02080001 0.01612617 0.01406567]",0.0818992501356127,0.06529976577108006
2019-11-05,"['ALLE', 'GL', 'ECL', 'SEDG', 'ALB', 'TDY', 'MDLZ', 'CCI', 'IFF', 'NFLX']","[0.37981443 0.23621977 0.10275221 0.08702404 0.05319597 0.05229147
 0.04805777 0.02938013 0.00733125 0.00393297]",0.07342839787163724,0.07320621478075247
2019-11-06,"['ALLE', 'CMS', 'PAYX', 'ES', 'CTRA', 'NEE', 'PGR', 'BR', 'LEN', 'CAT']","[3.08264960e-01 1.73007432e-01 1.49921871e-01 1.19443915e-01
 7.35205189e-02 7.23616919e-02 4.82507293e-02 2.86877281e-02
 2.63162009e-02 2.24952602e-04]",0.06255331790842383,0.057745549036114785
2019-11-07,"['NEE', 'ALLE', 'ROST', 'CPB', 'AMD', 'IQV', 'SNPS', 'ANSS', 'HD', 'KIM']","[0.35795963 0.18189393 0.15568761 0.08039148 0.07733717 0.04662201
 0.04135876 0.02296802 0.02088764 0.01489376]",0.0685351099905111,0.0641687377573932
2019-11-08,"['AMCR', 'PGR', 'AEE', 'CMS', 'KLAC', 'AVGO', 'SPGI', 'ADI', 'MTD', 'EXR']","[0.24603389 0.15777078 0.1191455  0.10390317 0.10004508 0.06949038
 0.06703199 0.05908997 0.05405322 0.02343602]",0.05740600641953456,0.058013426298966615
2019-11-11,"['NEE', 'TDG', 'ABT', 'ALLE', 'TT', 'TFX', 'INTU', 'MCK', 'KIM', 'TER']","[0.20937404 0.19196549 0.19180194 0.11186093 0.09278422 0.08814219
 0.04798514 0.03717142 0.02627355 0.00264107]",0.05708248427646108,0.05959774524818823
2019-11-12,"['PGR', 'WM', 'MSFT', 'CMS', 'CINF', 'SRE', 'BBWI', 'CSGP', 'XEL', 'CTLT']","[0.55383012 0.13606705 0.06023066 0.0565353  0.05601344 0.05586632
 0.03239631 0.03227232 0.01519357 0.00159491]",0.08844580764871539,0.09372400420409514
2019-11-13,"['WM', 'PGR', 'EQIX', 'GNRC', 'QRVO', 'NI', 'ACGL', 'EL', 'RVTY', 'HPQ']","[0.30851458 0.27619156 0.11871681 0.09684603 0.06627548 0.06095752
 0.04187296 0.01327056 0.01071788 0.00663664]",0.06200742575933277,0.06274003201089824
2019-11-14,"['FISV', 'NSC', 'AEE', 'DXCM', 'PGR', 'TAP', 'HII', 'MOH', 'WAB', 'PG']","[0.4751722  0.18969432 0.14533561 0.06366914 0.03158933 0.02851626
 0.02757156 0.02383539 0.01176959 0.0028466 ]",0.0634553005245316,0.07404624691382569
2019-11-15,"['FISV', 'MKTX', 'HST', 'BDX', 'ABT', 'ECL', 'PTC', 'KMB', 'ETSY', 'TFC']","[0.52400626 0.13374398 0.12189462 0.07979545 0.03908634 0.03374558
 0.0320202  0.02600683 0.00908162 0.00061913]",0.052641297233524884,0.07214180995022505
2019-11-18,"['VRSN', 'GNRC', 'TDY', 'TYL', 'CPT', 'CNC', 'ANSS', 'AON', 'CSX', 'FFIV']","[0.21111676 0.18778894 0.14134323 0.1115307  0.10415469 0.08287351
 0.05758025 0.04558048 0.0446668  0.01336465]",0.054118729100882654,0.06756338255887559
2019-11-19,"['FISV', 'DHR', 'PGR', 'EW', 'AIZ', 'UHS', 'GWW', 'VRTX', 'URI', 'TRV']","[0.23955638 0.22878908 0.14557686 0.12739151 0.08354109 0.06617235
 0.04668558 0.036614   0.01497303 0.01070012]",0.04926844521800114,0.06248187730340501
