Date,tickers,weights,return,risk
2019-10-01,"['PEAK', 'AFL', 'EOG', 'TXT', 'SCHW', 'NXPI', 'PODD', 'ABBV', 'SPGI', 'WBD']","[0.25392062 0.23227784 0.13096072 0.10372447 0.07904969 0.07390391
 0.07174896 0.04344513 0.00676515 0.00420351]",1.208865866866323,0.07117888817938395
2019-10-02,"['AMCR', 'DPZ', 'COP', 'CRL', 'KEY', 'XOM', 'TSCO', 'GILD', 'ELV', 'ADI']","[0.23521978 0.18291706 0.17552179 0.11207816 0.10645086 0.06497112
 0.06226793 0.04399058 0.00843645 0.00814629]",1.5440548377278196,0.09899137795657173
2019-10-03,"['STLD', 'FRT', 'JPM', 'DPZ', 'HON', 'GEN', 'CSCO', 'CPB', 'YUM', 'PGR']","[0.30778338 0.17344326 0.1376464  0.11071443 0.10648373 0.07914105
 0.04290592 0.02528971 0.01173661 0.00485551]",1.6106892209905448,0.09173278519278551
2019-10-04,"['SCHW', 'GLW', 'AMGN', 'NVDA', 'UHS', 'BAX', 'MSFT', 'CF', 'CI', 'TROW']","[0.33504353 0.30559473 0.11036517 0.07249143 0.04721176 0.03813739
 0.0302462  0.02932242 0.02912292 0.00246445]",1.2990910801944577,0.06985791797662058
2019-10-07,"['HON', 'DPZ', 'HST', 'MGM', 'STX', 'CSCO', 'BSX', 'AMCR', 'PH', 'APTV']","[0.22995239 0.18283269 0.17119183 0.1064407  0.09607607 0.07558104
 0.07289153 0.0327502  0.02664092 0.00564263]",1.9236279927876847,0.10482775151031087
2019-10-08,"['MRK', 'DPZ', 'AMCR', 'TSCO', 'PFE', 'OXY', 'KLAC', 'ZION', 'PFG', 'RVTY']","[0.25770353 0.19406511 0.18821349 0.09586899 0.09249403 0.0604566
 0.05128595 0.04842387 0.00772857 0.00375985]",1.4420617535880447,0.09306502580978201
2019-10-09,"['EOG', 'MCO', 'ITW', 'CPT', 'DXCM', 'A', 'TRMB', 'AMGN', 'REG', 'GILD']","[0.45523842 0.21933854 0.09948514 0.08581922 0.06697496 0.0303903
 0.01739571 0.016197   0.00473142 0.0044293 ]",1.2143539475213698,0.07592456613073428
2019-10-10,"['MDT', 'EOG', 'NXPI', 'STLD', 'GL', 'LUV', 'SBUX', 'BSX', 'AEE', 'RHI']","[0.53201603 0.11458899 0.08692182 0.08429357 0.07591438 0.02688038
 0.02543552 0.02449215 0.02435544 0.00510172]",0.9939660267186101,0.06422062684590646
2019-10-11,"['MCO', 'EXPD', 'CSCO', 'HES', 'FANG', 'PNW', 'PPL', 'ABBV', 'WBD', 'VZ']","[0.2699379  0.22504406 0.14657033 0.09636701 0.07264173 0.06603626
 0.04714628 0.03499148 0.02592525 0.0153397 ]",1.5586234983416878,0.09423054187813497
2019-10-14,"['ANET', 'HSIC', 'COST', 'AFL', 'MRK', 'KLAC', 'IRM', 'GILD', 'BBY', 'AAL']","[0.30771032 0.16550642 0.13536252 0.12223428 0.12054716 0.05087241
 0.04529625 0.04250467 0.00957332 0.00039264]",1.1080831021499187,0.05909346823051585
