Date,tickers,weights,return,risk
2019-10-01,"['F', 'EOG', 'DPZ', 'AFL', 'ALLE', 'META', 'COO', 'MA', 'RSG', 'HSY']","[2.37957113e-01 2.28090199e-01 1.93323336e-01 1.19657634e-01
 1.11695166e-01 4.83580603e-02 3.14989094e-02 1.56372716e-02
 1.36190056e-02 1.63305011e-04]",1.549045231644019,0.09778461661445499
2019-10-02,"['MCO', 'MRK', 'RF', 'MCHP', 'STLD', 'LLY', 'DISH', 'EA', 'LYV', 'INTC']","[0.39466671 0.1838644  0.10878611 0.10433665 0.06628335 0.05478601
 0.04250257 0.03183898 0.00703161 0.00590363]",1.2474076074532372,0.06992218982911609
2019-10-03,"['SCHW', 'PKG', 'DPZ', 'PEAK', 'ITW', 'OXY', 'UHS', 'MDT', 'BR', 'LNC']","[0.27935089 0.19106865 0.18954162 0.14263524 0.07656133 0.06217287
 0.02196717 0.01418199 0.01329372 0.00922652]",1.6730003171401489,0.10148011442715059
2019-10-04,"['EOG', 'IVZ', 'BBY', 'ADM', 'AMGN', 'PEG', 'STX', 'ZION', 'MSI', 'CAG']","[0.38328224 0.12948683 0.11131453 0.08706174 0.08619674 0.06347405
 0.06018943 0.03908624 0.03441214 0.00549604]",1.2021441227615552,0.07426428638672274
2019-10-07,"['HON', 'EXPD', 'JPM', 'GNRC', 'SBAC', 'SHW', 'ROK', 'CPB', 'PGR', 'IQV']","[0.46536159 0.22967421 0.07985456 0.06149997 0.04582758 0.04288653
 0.02522414 0.02329256 0.01920305 0.00717581]",2.489305150608085,0.1356558942824363
2019-10-08,"['MRK', 'PEAK', 'AXP', 'DGX', 'INTU', 'WST', 'BDX', 'CME', 'OKE', 'DLR']","[0.43876123 0.24876201 0.08802701 0.06270385 0.056234   0.03388439
 0.02119969 0.01843471 0.016855   0.0151381 ]",1.3091430752694004,0.08220526839208145
2019-10-09,"['CL', 'HST', 'MRK', 'STZ', 'HES', 'EXPE', 'CBRE', 'CPRT', 'AMCR', 'ISRG']","[0.35481959 0.19589184 0.18993024 0.08938004 0.07717348 0.03070109
 0.02681877 0.0176371  0.01320073 0.00444712]",1.2118854747178895,0.07702504376293774
2019-10-10,"['PEAK', 'SCHW', 'ACN', 'MCO', 'RMD', 'NEM', 'CLX', 'VFC', 'APD', 'MGM']","[0.27116004 0.25198243 0.18295854 0.08765853 0.0747828  0.04855745
 0.03967423 0.03075657 0.00709788 0.00537154]",1.2921833934581113,0.07784753921536576
2019-10-11,"['AMCR', 'BXP', 'AFL', 'LUV', 'A', 'ORCL', 'UHS', 'ODFL', 'PG', 'CMCSA']","[0.43264592 0.19918703 0.09043798 0.07700979 0.05432427 0.04241129
 0.03867992 0.03112324 0.02967429 0.00450627]",0.8841983998171794,0.05612002917999376
2019-10-14,"['NOC', 'HST', 'LDOS', 'BWA', 'NTRS', 'WFC', 'AMT', 'GD', 'AFL', 'WST']","[0.28158731 0.26428671 0.22772158 0.06733352 0.05700161 0.04974687
 0.01882539 0.01485085 0.01237788 0.00626827]",1.3644346932593363,0.07854456759961746
2019-10-15,"['MRK', 'EOG', 'GLW', 'ISRG', 'EXPD', 'DPZ', 'EXPE', 'IRM', 'ABT', 'MS']","[0.29012378 0.14436726 0.10067633 0.09167989 0.0914875  0.08417015
 0.06876693 0.06735404 0.03680034 0.02457377]",1.3735678400064673,0.07392115678224358
2019-10-16,"['PEAK', 'ALB', 'TAP', 'DPZ', 'PNW', 'RJF', 'MCHP', 'AMCR', 'AIZ', 'IFF']","[2.43040535e-01 2.14240298e-01 2.00471377e-01 1.48012975e-01
 7.12950956e-02 6.95625732e-02 3.10690484e-02 1.38815506e-02
 8.38195909e-03 4.45883723e-05]",1.5030110168667994,0.08478397251314115
2019-10-17,"['AMCR', 'LEN', 'ALB', 'CI', 'MO', 'MDT', 'ESS', 'SYY', 'IP', 'MLM']","[0.38417041 0.18030536 0.1187335  0.09346191 0.06770459 0.05998932
 0.04841062 0.03508698 0.00679011 0.0053472 ]",0.9695291546788487,0.05799875895331281
2019-10-18,"['MCO', 'MSI', 'AMCR', 'FICO', 'KEY', 'GPN', 'MMC', 'RTX', 'WEC', 'SJM']","[0.41426461 0.20054564 0.08032801 0.07355185 0.05779118 0.04037858
 0.03759188 0.03614195 0.03571431 0.02369199]",1.1993542091275073,0.06866889778327771
2019-10-21,"['AMCR', 'HON', 'APA', 'RTX', 'CCI', 'AIG', 'GPN', 'CI', 'HPQ', 'AEP']","[0.44593318 0.21147262 0.10759407 0.08600823 0.03827304 0.02434595
 0.02348973 0.02282022 0.02100726 0.01905571]",1.3935965672610884,0.08114575383501095
2019-10-22,"['AMCR', 'HST', 'RSG', 'TMUS', 'IBM', 'CPT', 'IDXX', 'NI', 'TFX', 'ANET']","[0.53990457 0.12831588 0.09176223 0.06848589 0.05359383 0.05318048
 0.02674568 0.02100422 0.00851805 0.00848916]",1.1716234986957264,0.07335150292649965
2019-10-23,"['STLD', 'ENPH', 'LEN', 'DVA', 'KEY', 'PEAK', 'WBD', 'IPG', 'ETN', 'HON']","[0.39383798 0.11129954 0.08934596 0.08354277 0.07006172 0.06270738
 0.05590968 0.05393967 0.05307881 0.02627648]",1.4189663704846573,0.07887510047687796
2019-10-24,"['PEAK', 'AMCR', 'DVN', 'BEN', 'CTSH', 'ABBV', 'ALK', 'SJM', 'GS', 'FAST']","[0.25096931 0.23342361 0.14030468 0.08851654 0.06181086 0.06132739
 0.04850102 0.04538168 0.04478503 0.02497988]",1.1966201219070438,0.06632841058018082
2019-10-25,"['KEY', 'EXPD', 'HON', 'IFF', 'EXR', 'NDSN', 'LKQ', 'SNPS', 'CAH', 'IEX']","[0.20705369 0.2055323  0.1569576  0.14147526 0.1007891  0.07656332
 0.04061176 0.0339612  0.0252504  0.01180536]",1.86193341863806,0.11139262750612375
2019-10-28,"['MRK', 'REGN', 'MGM', 'EOG', 'HON', 'MKC', 'TYL', 'AMP', 'BR', 'TECH']","[0.23158425 0.14160864 0.13218386 0.11870858 0.11694214 0.09390029
 0.07090844 0.06302636 0.02281817 0.00831927]",1.1590854483496715,0.06285770582324003
2019-10-29,"['KEY', 'HON', 'MCHP', 'SJM', 'FSLR', 'PCG', 'TDG', 'ABBV', 'RVTY', 'FDX']","[0.2548327  0.20580204 0.11384351 0.11141701 0.08638395 0.06948091
 0.06015166 0.05029545 0.02850465 0.01928811]",1.6099140246673427,0.09680434070238614
2019-10-30,"['ILMN', 'EXPD', 'ENPH', 'F', 'NOC', 'VTR', 'AVGO', 'NFLX', 'ETN', 'PSA']","[0.29065781 0.22418151 0.14887165 0.08463685 0.06120996 0.04881724
 0.04715954 0.04525666 0.04348365 0.00572512]",1.8501185232965696,0.09409965740480349
2019-10-31,"['HON', 'HST', 'SLB', 'LDOS', 'BBWI', 'DISH', 'MET', 'IBM', 'RJF', 'MRO']","[0.3221123  0.23178536 0.20793577 0.13306086 0.05188921 0.02227603
 0.01315628 0.01185489 0.00535086 0.00057844]",1.565915479399658,0.08378433623878676
2019-11-01,"['PEAK', 'ABC', 'DPZ', 'CMI', 'MTCH', 'CTSH', 'UNP', 'EQT', 'ORLY', 'CSGP']","[0.27976004 0.15774031 0.15226149 0.13974072 0.09129853 0.08198409
 0.04469619 0.0282429  0.01307328 0.01120246]",1.4220472011909582,0.08383428413075783
2019-11-04,"['SCHW', 'REGN', 'IFF', 'CE', 'LUV', 'AFL', 'CME', 'EBAY', 'CL', 'CPT']","[0.28221291 0.19993057 0.19227396 0.15038548 0.07976199 0.0543109
 0.01542197 0.01227022 0.00975649 0.00367552]",1.238424022979935,0.07973735792578562
2019-11-05,"['ANET', 'AMCR', 'HST', 'PEAK', 'LVS', 'ICE', 'PGR', 'UNH', 'HAS', 'WELL']","[0.32864717 0.27018064 0.14108189 0.12871863 0.04728805 0.03031714
 0.02918356 0.01453326 0.00577003 0.00427962]",1.2497790708940366,0.053908984781403935
2019-11-06,"['SCHW', 'EMN', 'KR', 'DOV', 'FDX', 'MOH', 'LKQ', 'GWW', 'SNPS', 'SYY']","[0.41280162 0.14598973 0.10082674 0.08104383 0.07264171 0.06118574
 0.04914672 0.04103418 0.02483131 0.01049842]",1.0247779228151241,0.06781383326162482
2019-11-07,"['AMCR', 'NI', 'SCHW', 'PAYX', 'RSG', 'URI', 'NKE', 'RL', 'D', 'MGM']","[0.41483759 0.14168422 0.13438331 0.0915516  0.06215718 0.04893028
 0.04637684 0.02265416 0.02164427 0.01578053]",1.1139586654114981,0.06782937734836444
2019-11-08,"['MRK', 'ADM', 'GIS', 'VRSK', 'CRL', 'BA', 'BBWI', 'REG', 'VFC', 'PCG']","[3.91540342e-01 1.98125502e-01 1.53404309e-01 6.99043527e-02
 6.79648535e-02 6.21102667e-02 3.36523565e-02 2.01732170e-02
 2.74675785e-03 3.78042603e-04]",1.7191614901869754,0.09330473832370229
2019-11-11,"['GLW', 'AFL', 'ADM', 'CTAS', 'LRCX', 'EXR', 'BLK', 'DISH', 'MET', 'HBAN']","[0.43836866 0.18855603 0.08524915 0.07860248 0.06113228 0.04760766
 0.0429546  0.03042993 0.01902335 0.00807587]",1.2847161025968346,0.08713294802012886
