Date,tickers,weights,return,risk
2019-10-01,"['MS', 'CDW', 'FCX', 'GPC', 'MMC', 'HBAN', 'KDP', 'COST', 'NOC', 'GM']","[0.24982272 0.20337135 0.11236959 0.09935871 0.08214682 0.06878689
 0.05952999 0.04684983 0.04207099 0.03569311]",5.880352238946634,0.04716018378604444
2019-10-02,"['KDP', 'PCG', 'WST', 'AXON', 'FDS', 'CHRW', 'DISH', 'MCK', 'UNP', 'HII']","[0.37007402 0.26978992 0.1307492  0.09379875 0.05977837 0.03320644
 0.01874892 0.01544335 0.00578879 0.00262224]",8.41570213480927,0.06980775475654029
2019-10-03,"['ELV', 'MCHP', 'KDP', 'PEP', 'NVDA', 'PHM', 'BLK', 'VRSN', 'REG', 'SHW']","[0.22660167 0.21389678 0.18265166 0.13046403 0.08158882 0.07372584
 0.05047604 0.03556995 0.00460904 0.00041615]",6.58626721917283,0.060496850408300995
2019-10-04,"['HPQ', 'BKNG', 'FTNT', 'FFIV', 'BALL', 'ON', 'CAG', 'CINF', 'STZ', 'ODFL']","[0.47310831 0.13717348 0.09751441 0.08110119 0.06340934 0.05764087
 0.04774317 0.02483898 0.01408843 0.00338182]",6.470601894710522,0.05492162560302485
2019-10-07,"['MS', 'CRM', 'KMX', 'RJF', 'ALGN', 'ZTS', 'PNR', 'AMT', 'MMC', 'ADP']","[0.30271427 0.20150186 0.16135764 0.09292536 0.06866529 0.06466477
 0.04595279 0.02436745 0.0240182  0.01383238]",6.446540785087484,0.05603534350216107
2019-10-08,"['KDP', 'RMD', 'MS', 'PODD', 'SRE', 'EMR', 'MLM', 'GOOGL', 'ISRG', 'TER']","[0.30987306 0.17857358 0.15104467 0.13267941 0.07055334 0.05146786
 0.04085697 0.03778246 0.01670552 0.01046313]",8.06161931397535,0.056241028272800475
2019-10-09,"['CMI', 'MS', 'CMCSA', 'RJF', 'WM', 'PFG', 'MSFT', 'TFC', 'PNW', 'ORCL']","[0.26493244 0.21777579 0.15855125 0.12672051 0.08339129 0.07889557
 0.03636878 0.02255519 0.00821656 0.00259263]",5.420217204939531,0.045243246907337616
2019-10-10,"['V', 'KDP', 'JPM', 'ALB', 'AMAT', 'DLR', 'CAG', 'LUV', 'FRT', 'KMB']","[0.29919628 0.22791706 0.1565381  0.10623813 0.07780112 0.06261631
 0.03465595 0.01557745 0.01435302 0.00510658]",7.164556424062452,0.060072587676052905
2019-10-11,"['CMI', 'TFC', 'AKAM', 'KMX', 'NXPI', 'TRMB', 'VMC', 'PLD', 'DHI', 'CI']","[0.27436419 0.16532791 0.15900487 0.13651387 0.06895063 0.06879445
 0.04735642 0.03851309 0.03342178 0.00775279]",4.528001014732112,0.03468847892444447
2019-10-14,"['MS', 'MTCH', 'JPM', 'ARE', 'ALL', 'CMI', 'AVGO', 'FSLR', 'PG', 'GS']","[0.29537423 0.13891945 0.13510418 0.13343022 0.08103131 0.0573082
 0.05710241 0.05196821 0.04553038 0.00423141]",5.946195758890843,0.04977024357592112
