Date,tickers,weights,return,risk
2019-10-01,"['SCHW', 'GE', 'AMT', 'PRU', 'DPZ', 'WBD', 'CPRT', 'TECH', 'CTLT', 'WFC']","[0.34627356 0.1897269  0.09949946 0.08681844 0.08491856 0.05262489
 0.04427729 0.04093244 0.03567428 0.01925418]",1.2030094257682493,0.07595935187171929
2019-10-02,"['GLW', 'HST', 'AMAT', 'MCO', 'EXPE', 'AJG', 'KO', 'MAR', 'TECH', 'MAA']","[0.2319905  0.18684886 0.16337601 0.15390055 0.12667501 0.07417155
 0.04096697 0.01446065 0.00726648 0.00034342]",1.2208905116505444,0.07446292714598557
2019-10-03,"['ILMN', 'EXPD', 'DPZ', 'ZTS', 'AFL', 'MAS', 'CCL', 'MCO', 'BAC', 'FMC']","[0.2519471  0.21949571 0.19051257 0.11514867 0.05697609 0.05157135
 0.04994236 0.03477977 0.02416204 0.00546434]",2.022295699247551,0.12056458056331883
2019-10-04,"['EOG', 'DPZ', 'MCO', 'FDS', 'AAL', 'TJX', 'TRMB', 'A', 'NKE', 'PFG']","[0.33199249 0.18281423 0.17762663 0.09211612 0.08062089 0.04319397
 0.03427929 0.02727368 0.02611263 0.00397008]",1.4761177160838779,0.0754518662380713
2019-10-07,"['EXPD', 'LEN', 'DPZ', 'LUV', 'ON', 'ZION', 'FITB', 'KMB', 'SYK', 'IEX']","[0.27457247 0.20770221 0.15770752 0.12065394 0.0928281  0.0738661
 0.04280442 0.01656149 0.01089542 0.00240832]",2.0454251574076077,0.12296810849290149
2019-10-08,"['RMD', 'MRK', 'ILMN', 'ARE', 'HSIC', 'GIS', 'TMO', 'NVDA', 'BEN', 'HON']","[0.25296198 0.16446503 0.13597753 0.11595978 0.10943835 0.06753321
 0.0544164  0.05324361 0.03872265 0.00728146]",1.7107055465291554,0.09985483789258486
2019-10-09,"['REGN', 'HST', 'MSI', 'DPZ', 'TGT', 'BIIB', 'EXPD', 'ETSY', 'ROK', 'MDT']","[0.30407043 0.17530852 0.16779626 0.07147115 0.06939468 0.06101595
 0.05740687 0.05643656 0.02108676 0.01601283]",1.337101448377405,0.07601088409290697
2019-10-10,"['CNC', 'AMGN', 'JPM', 'NVDA', 'IRM', 'UNP', 'LVS', 'ODFL', 'UPS', 'PM']","[0.29436923 0.19288056 0.17158335 0.14514765 0.06004362 0.05525546
 0.03550319 0.0253249  0.01713275 0.00275929]",1.3095969569007262,0.07450072646832068
2019-10-11,"['HON', 'JPM', 'MET', 'TYL', 'HCA', 'CMI', 'TMUS', 'IDXX', 'CCI', 'REG']","[0.37913955 0.24419392 0.14119047 0.08031439 0.05590814 0.03230122
 0.02503091 0.02361814 0.0119073  0.00639596]",1.853756434869652,0.10737200339142369
2019-10-14,"['ANET', 'CPRT', 'EXPD', 'TRV', 'AXON', 'STX', 'CHRW', 'ATO', 'INTC', 'GEN']","[5.52292074e-01 1.69131254e-01 9.24249424e-02 8.46291915e-02
 4.82317695e-02 1.55523868e-02 1.49611873e-02 1.40821237e-02
 8.56900625e-03 1.26064044e-04]",1.171067180148267,0.07035181224681883
2019-10-15,"['NOC', 'SCHW', 'HON', 'TAP', 'STT', 'LHX', 'LDOS', 'MS', 'EPAM', 'SYY']","[0.33786814 0.22932187 0.11638523 0.08253403 0.06214388 0.05308111
 0.04809475 0.04741106 0.01197512 0.01118482]",1.2340889108336506,0.07176775593019762
2019-10-16,"['EOG', 'DHR', 'OMC', 'CF', 'COP', 'HON', 'QRVO', 'NDAQ', 'FRT', 'MCO']","[0.36737588 0.16576651 0.14251818 0.08657176 0.08213527 0.07294535
 0.04369906 0.01645922 0.014786   0.00774277]",1.3208439192496253,0.0716379742481802
2019-10-17,"['PEAK', 'DPZ', 'PCG', 'ARE', 'ABT', 'UNP', 'DD', 'PARA', 'IPG', 'A']","[0.25704585 0.17650798 0.17258445 0.13255144 0.10199322 0.07271458
 0.02972745 0.02807574 0.0279179  0.00088139]",1.5347613216829536,0.08686594362176386
