,TTM Net EPS,Ticker
2022-12-31,$8.52,MMM
2023-01-01,$8.52,MMM
2023-01-02,$8.52,MMM
2023-01-03,$8.52,MMM
2023-01-04,$8.52,MMM
2023-01-05,$8.52,MMM
2023-01-06,$8.52,MMM
2023-01-07,$8.52,MMM
2023-01-08,$8.52,MMM
2023-01-09,$8.52,MMM
2023-01-10,$8.52,MMM
2023-01-11,$8.52,MMM
2023-01-12,$8.52,MMM
2023-01-13,$8.52,MMM
2023-01-14,$8.52,MMM
2023-01-15,$8.52,MMM
2023-01-16,$8.52,MMM
2023-01-17,$8.52,MMM
2023-01-18,$8.52,MMM
2023-01-19,$8.52,MMM
2023-01-20,$8.52,MMM
2023-01-21,$8.52,MMM
2023-01-22,$8.52,MMM
2023-01-23,$8.52,MMM
2023-01-24,$8.52,MMM
2023-01-25,$8.52,MMM
2023-01-26,$8.52,MMM
2023-01-27,$8.52,MMM
2023-01-28,$8.52,MMM
2023-01-29,$8.52,MMM
2023-01-30,$8.52,MMM
2023-01-31,$8.52,MMM
2023-02-01,$8.52,MMM
2023-02-02,$8.52,MMM
2023-02-03,$8.52,MMM
2023-02-04,$8.52,MMM
2023-02-05,$8.52,MMM
2023-02-06,$8.52,MMM
2023-02-07,$8.52,MMM
2023-02-08,$8.52,MMM
2023-02-09,$8.52,MMM
2023-02-10,$8.52,MMM
2023-02-11,$8.52,MMM
2023-02-12,$8.52,MMM
2023-02-13,$8.52,MMM
2023-02-14,$8.52,MMM
2023-02-15,$8.52,MMM
2023-02-16,$8.52,MMM
2023-02-17,$8.52,MMM
2023-02-18,$8.52,MMM
2023-02-19,$8.52,MMM
2023-02-20,$8.52,MMM
2023-02-21,$8.52,MMM
2023-02-22,$8.52,MMM
2023-02-23,$8.52,MMM
2023-02-24,$8.52,MMM
2023-02-25,$8.52,MMM
2023-02-26,$8.52,MMM
2023-02-27,$8.52,MMM
2023-02-28,$8.52,MMM
2023-03-01,$8.52,MMM
2023-03-02,$8.52,MMM
2023-03-03,$8.52,MMM
2023-03-04,$8.52,MMM
2023-03-05,$8.52,MMM
2023-03-06,$8.52,MMM
2023-03-07,$8.52,MMM
2023-03-08,$8.52,MMM
2023-03-09,$8.52,MMM
2023-03-10,$8.52,MMM
2023-03-11,$8.52,MMM
2023-03-12,$8.52,MMM
2023-03-13,$8.52,MMM
2023-03-14,$8.52,MMM
2023-03-15,$8.52,MMM
2022-12-31,$2.02,AOS
2023-01-01,$2.02,AOS
2023-01-02,$2.02,AOS
2023-01-03,$2.02,AOS
2023-01-04,$2.02,AOS
2023-01-05,$2.02,AOS
2023-01-06,$2.02,AOS
2023-01-07,$2.02,AOS
2023-01-08,$2.02,AOS
2023-01-09,$2.02,AOS
2023-01-10,$2.02,AOS
2023-01-11,$2.02,AOS
2023-01-12,$2.02,AOS
2023-01-13,$2.02,AOS
2023-01-14,$2.02,AOS
2023-01-15,$2.02,AOS
2023-01-16,$2.02,AOS
2023-01-17,$2.02,AOS
2023-01-18,$2.02,AOS
2023-01-19,$2.02,AOS
2023-01-20,$2.02,AOS
2023-01-21,$2.02,AOS
2023-01-22,$2.02,AOS
2023-01-23,$2.02,AOS
2023-01-24,$2.02,AOS
2023-01-25,$2.02,AOS
2023-01-26,$2.02,AOS
2023-01-27,$2.02,AOS
2023-01-28,$2.02,AOS
2023-01-29,$2.02,AOS
2023-01-30,$2.02,AOS
2023-01-31,$2.02,AOS
2023-02-01,$2.02,AOS
2023-02-02,$2.02,AOS
2023-02-03,$2.02,AOS
2023-02-04,$2.02,AOS
2023-02-05,$2.02,AOS
2023-02-06,$2.02,AOS
2023-02-07,$2.02,AOS
2023-02-08,$2.02,AOS
2023-02-09,$2.02,AOS
2023-02-10,$2.02,AOS
2023-02-11,$2.02,AOS
2023-02-12,$2.02,AOS
2023-02-13,$2.02,AOS
2023-02-14,$2.02,AOS
2023-02-15,$2.02,AOS
2023-02-16,$2.02,AOS
2023-02-17,$2.02,AOS
2023-02-18,$2.02,AOS
2023-02-19,$2.02,AOS
2023-02-20,$2.02,AOS
2023-02-21,$2.02,AOS
2023-02-22,$2.02,AOS
2023-02-23,$2.02,AOS
2023-02-24,$2.02,AOS
2023-02-25,$2.02,AOS
2023-02-26,$2.02,AOS
2023-02-27,$2.02,AOS
2023-02-28,$2.02,AOS
2023-03-01,$2.02,AOS
2023-03-02,$2.02,AOS
2023-03-03,$2.02,AOS
2023-03-04,$2.02,AOS
2023-03-05,$2.02,AOS
2023-03-06,$2.02,AOS
2023-03-07,$2.02,AOS
2023-03-08,$2.02,AOS
2023-03-09,$2.02,AOS
2023-03-10,$2.02,AOS
2023-03-11,$2.02,AOS
