Date,TTM Net EPS,Ticker
2016-03-31,$7.78,MMM
2016-06-30,$7.84,MMM
2016-09-30,$7.94,MMM
2016-12-31,$7.09,MMM
2017-03-31,$7.17,MMM
2017-06-30,$7.60,MMM
2017-09-30,$8.95,MMM
2017-12-31,$7.92,MMM
2018-03-31,$7.26,MMM
2018-06-30,$8.83,MMM
2018-09-30,$8.83,MMM
2018-12-31,$8.77,MMM
2019-03-31,$9.43,MMM
2019-06-30,$8.28,MMM
2019-09-30,$8.42,MMM
2019-12-31,$7.81,MMM
2020-03-31,$8.52,MMM
2016-03-31,$1.67,AOS
2016-06-30,$1.77,AOS
2016-09-30,$1.83,AOS
2016-12-31,$1.85,AOS
2017-03-31,$1.93,AOS
2017-06-30,$1.97,AOS
2017-09-30,$2.04,AOS
2017-12-31,$1.70,AOS
2018-03-31,$1.77,AOS
2018-06-30,$1.90,AOS
2018-09-30,$1.97,AOS
2018-12-31,$2.58,AOS
2019-03-31,$2.54,AOS
2019-06-30,$2.49,AOS
2019-09-30,$2.41,AOS
2019-12-31,$2.23,AOS
2020-03-31,$2.02,AOS
2016-03-31,$1.62,ABT
2016-06-30,$1.51,ABT
2016-09-30,$0.91,ABT
2016-12-31,$0.93,ABT
2017-03-31,$0.96,ABT
2017-06-30,$0.71,ABT
2017-09-30,$1.27,ABT
2017-12-31,$0.26,ABT
2018-03-31,$0.25,ABT
2018-06-30,$0.50,ABT
2018-09-30,$0.48,ABT
2018-12-31,$1.33,ABT
2019-03-31,$1.48,ABT
2019-06-30,$1.63,ABT
2019-09-30,$1.84,ABT
2019-12-31,$2.06,ABT
2020-03-31,$1.99,ABT
2016-03-31,$3.32,ABBV
2016-06-30,$3.47,ABBV
2016-09-30,$3.70,ABBV
2016-12-31,$3.63,ABBV
2017-03-31,$3.86,ABBV
2017-06-30,$4.07,ABBV
2017-09-30,$4.11,ABBV
2017-12-31,$3.29,ABBV
2018-03-31,$3.97,ABBV
2018-06-30,$4.04,ABBV
2018-09-30,$4.84,ABBV
2018-12-31,$3.86,ABBV
2019-03-31,$4.25,ABBV
2019-06-30,$2.93,ABBV
2019-09-30,$2.17,ABBV
2019-12-31,$5.28,ABBV
2020-03-31,$6.83,ABBV
2016-02-29,$5.75,ACN
2016-05-31,$5.92,ACN
2016-08-31,$6.45,ACN
2016-11-30,$6.75,ACN
2017-02-28,$6.00,ACN
2017-05-31,$5.64,ACN
2017-08-31,$5.44,ACN
2017-11-30,$5.65,ACN
2018-02-28,$5.69,ACN
2018-05-31,$6.24,ACN
2018-08-31,$6.34,ACN
2018-11-30,$6.51,ACN
2019-02-28,$6.87,ACN
2019-05-31,$7.20,ACN
2019-08-31,$7.36,ACN
2019-11-30,$7.49,ACN
2020-02-29,$7.67,ACN
2016-03-31,$1.12,ATVI
2016-06-30,$1.00,ATVI
2016-09-30,$1.09,ATVI
2016-12-31,$1.21,ATVI
2017-03-31,$1.32,ATVI
2017-06-30,$1.47,ATVI
2017-09-30,$1.46,ATVI
2017-12-31,$0.36,ATVI
2018-03-31,$0.45,ATVI
2018-06-30,$0.65,ATVI
2018-09-30,$0.74,ATVI
2018-12-31,$2.35,ATVI
2019-03-31,$1.31,ATVI
2019-06-30,$2.13,ATVI
2019-09-30,$1.87,ATVI
2019-12-31,$2.21,ATVI
2020-03-31,$2.02,ATVI
2016-03-31,$2.61,ADM
2016-06-30,$2.47,ADM
2016-09-30,$2.64,ADM
2016-12-31,$2.18,ADM
2017-03-31,$2.38,ADM
2017-06-30,$2.38,ADM
2017-09-30,$2.14,ADM
2017-12-31,$2.80,ADM
2018-03-31,$2.91,ADM
2018-06-30,$3.43,ADM
2018-09-30,$4.03,ADM
2018-12-31,$3.20,ADM
2019-03-31,$2.91,ADM
2019-06-30,$2.33,ADM
2019-09-30,$2.11,ADM
2019-12-31,$2.45,ADM
2020-03-31,$2.73,ADM
2016-02-29,$1.57,ADBE
2016-05-31,$1.76,ADBE
2016-08-31,$1.96,ADBE
2016-11-30,$2.32,ADBE
2017-02-28,$2.62,ADBE
2017-05-31,$2.89,ADBE
2017-08-31,$3.19,ADBE
2017-11-30,$3.39,ADBE
2018-02-28,$3.76,ADBE
2018-05-31,$4.34,ADBE
2018-08-31,$4.84,ADBE
2018-11-30,$5.21,ADBE
2019-02-28,$5.40,ADBE
2019-05-31,$5.36,ADBE
2019-08-31,$5.63,ADBE
2019-11-30,$6.00,ADBE
2020-02-29,$6.60,ADBE
2016-03-31,$3.35,ADP
2016-06-30,$3.25,ADP
2016-09-30,$3.34,ADP
2016-12-31,$3.73,ADP
2017-03-31,$3.87,ADP
2017-06-30,$3.84,ADP
2017-09-30,$3.93,ADP
2017-12-31,$3.85,ADP
2018-03-31,$3.99,ADP
2018-06-30,$3.65,ADP
2018-09-30,$3.90,ADP
2018-12-31,$4.12,ADP
2019-03-31,$4.40,ADP
2019-06-30,$5.24,ADP
2019-09-30,$5.43,ADP
2019-12-31,$5.66,ADP
2020-03-31,$5.83,ADP
2016-03-31,$5.97,AAP
2016-06-30,$6.02,AAP
2016-09-30,$6.09,AAP
2016-12-31,$6.19,AAP
2017-03-31,$7.12,AAP
2017-06-30,$5.22,AAP
2017-09-30,$4.84,AAP
2017-12-31,$5.80,AAP
2018-03-31,$6.80,AAP
2018-06-30,$7.22,AAP
2018-09-30,$7.48,AAP
2018-12-31,$5.73,AAP
2019-03-31,$5.87,AAP
2019-06-30,$6.01,AAP
2019-09-30,$6.20,AAP
2019-12-31,$6.84,AAP
2020-03-31,$5.49,AAP
2016-03-31,$0.42,AES
2016-06-30,$-0.41,AES
2016-09-30,$-0.41,AES
2016-12-31,$-1.72,AES
2017-03-31,$-1.95,AES
2017-06-30,$-1.14,AES
2017-09-30,$-1.17,AES
2017-12-31,$-1.76,AES
2018-03-31,$-0.69,AES
2018-06-30,$-0.33,AES
2018-09-30,$-0.41,AES
2018-12-31,$1.81,AES
2019-03-31,$1.01,AES
2019-06-30,$0.59,AES
2019-09-30,$0.76,AES
2019-12-31,$0.45,AES
2020-03-31,$0.44,AES
2016-03-31,$3.05,AFL
2016-06-30,$3.05,AFL
2016-09-30,$3.15,AFL
2016-12-31,$3.42,AFL
2017-03-31,$3.49,AFL
2017-06-30,$3.62,AFL
2017-09-30,$3.45,AFL
2017-12-31,$5.51,AFL
2018-03-31,$5.68,AFL
2018-06-30,$3.37,AFL
2018-09-30,$5.88,AFL
2018-12-31,$5.67,AFL
2019-03-31,$3.92,AFL
2019-06-30,$4.10,AFL
2019-09-30,$4.05,AFL
2019-12-31,$4.42,AFL
2020-03-31,$3.97,AFL
2016-01-31,$1.35,A
2016-04-30,$1.38,A
2016-07-31,$1.45,A
2016-10-31,$1.41,A
2017-01-31,$1.56,A
2017-04-30,$1.78,A
2017-07-31,$1.94,A
2017-10-31,$2.10,A
2018-01-31,$0.59,A
2018-04-30,$0.72,A
2018-07-31,$0.91,A
2018-10-31,$0.98,A
2019-01-31,$3.54,A
2019-04-30,$3.48,A
2019-07-31,$3.35,A
2019-10-31,$3.36,A
2020-01-31,$2.42,A
2016-03-31,$2.55,APD
2016-06-30,$2.67,APD
2016-09-30,$2.89,APD
2016-12-31,$2.59,APD
2017-03-31,$14.46,APD
2017-06-30,$13.33,APD
2017-09-30,$13.66,APD
2017-12-31,$12.99,APD
2018-03-31,$5.18,APD
2018-06-30,$6.87,APD
2018-09-30,$6.79,APD
2018-12-31,$7.66,APD
2019-03-31,$7.67,APD
2019-06-30,$7.72,APD
2019-09-30,$7.94,APD
2019-12-31,$8.51,APD
2020-03-31,$8.76,APD
2016-03-31,$1.77,AKAM
2016-06-30,$1.72,AKAM
2016-09-30,$1.83,AKAM
2016-12-31,$1.86,AKAM
2017-03-31,$1.83,AKAM
2017-06-30,$1.74,AKAM
2017-09-30,$1.66,AKAM
2017-12-31,$1.25,AKAM
2018-03-31,$1.10,AKAM
2018-06-30,$1.02,AKAM
2018-09-30,$1.31,AKAM
2018-12-31,$1.77,AKAM
2019-03-31,$2.11,AKAM
2019-06-30,$2.55,AKAM
2019-09-30,$2.75,AKAM
2019-12-31,$2.91,AKAM
2020-03-31,$3.01,AKAM
2016-03-31,$6.90,ALK
2016-06-30,$7.21,ALK
2016-09-30,$7.14,ALK
2016-12-31,$6.55,ALK
2017-03-31,$5.88,ALK
2017-06-30,$6.16,ALK
2017-09-30,$6.23,ALK
2017-12-31,$8.28,ALK
2018-03-31,$7.52,ALK
2018-06-30,$6.70,ALK
2018-09-30,$6.31,ALK
2018-12-31,$3.53,ALK
2019-03-31,$3.53,ALK
2019-06-30,$4.08,ALK
2019-09-30,$4.93,ALK
2019-12-31,$6.20,ALK
2020-03-31,$4.30,ALK
2016-03-31,$4.61,ALB
2016-06-30,$1.37,ALB
2016-09-30,$1.92,ALB
2016-12-31,$5.67,ALB
2017-03-31,$4.10,ALB
2017-06-30,$7.80,ALB
2017-09-30,$7.73,ALB
2017-12-31,$0.48,ALB
2018-03-31,$1.21,ALB
2018-06-30,$3.02,ALB
2018-09-30,$3.16,ALB
2018-12-31,$6.32,ALB
2019-03-31,$6.40,ALB
2019-06-30,$5.12,ALB
2019-09-30,$5.38,ALB
2019-12-31,$5.02,ALB
2020-03-31,$4.77,ALB
2016-03-31,$1.34,ARE
2016-06-30,$-0.82,ARE
2016-09-30,$-1.21,ARE
2016-12-31,$-2.01,ARE
2017-03-31,$-1.67,ARE
2017-06-30,$0.40,ARE
2017-09-30,$0.88,ARE
2017-12-31,$1.57,ARE
2018-03-31,$2.60,ARE
2018-06-30,$2.76,ARE
2018-09-30,$4.19,ARE
2018-12-31,$3.51,ARE
2019-03-31,$3.30,ARE
2019-06-30,$3.47,ARE
2019-09-30,$1.05,ARE
2019-12-31,$3.09,ARE
2020-03-31,$2.12,ARE
2016-03-31,$1.83,ALGN
2016-06-30,$2.06,ALGN
2016-09-30,$2.35,ALGN
2016-12-31,$2.34,ALGN
2017-03-31,$2.69,ALGN
2017-06-30,$2.92,ALGN
2017-09-30,$3.30,ALGN
2017-12-31,$2.84,ALGN
2018-03-31,$3.16,ALGN
2018-06-30,$3.61,ALGN
2018-09-30,$3.84,ALGN
2018-12-31,$4.91,ALGN
2019-03-31,$4.63,ALGN
2019-06-30,$5.16,ALGN
2019-09-30,$5.20,ALGN
2019-12-31,$5.53,ALGN
2020-03-31,$23.85,ALGN
2016-03-31,$1.72,ALLE
2016-06-30,$2.04,ALLE
2016-09-30,$2.34,ALLE
2016-12-31,$2.37,ALLE
2017-03-31,$2.48,ALLE
2017-06-30,$2.60,ALLE
2017-09-30,$3.52,ALLE
2017-12-31,$2.85,ALLE
2018-03-31,$2.89,ALLE
2018-06-30,$2.98,ALLE
2018-09-30,$3.25,ALLE
2018-12-31,$4.54,ALLE
2019-03-31,$4.63,ALLE
2019-06-30,$4.60,ALLE
2019-09-30,$4.79,ALLE
2019-12-31,$4.26,ALLE
2020-03-31,$3.42,ALLE
2016-03-31,$1.67,LNT
2016-06-30,$1.74,LNT
2016-09-30,$1.52,LNT
2016-12-31,$1.65,LNT
2017-03-31,$1.66,LNT
2017-06-30,$1.70,LNT
2017-09-30,$1.86,LNT
2017-12-31,$1.99,LNT
2018-03-31,$2.07,LNT
2018-06-30,$2.09,LNT
2018-09-30,$2.23,LNT
2018-12-31,$2.18,LNT
2019-03-31,$2.19,LNT
