,Random Monkey - 3 Month Return (%)
2019-10-01,4.6
2019-10-02,19.1
2019-10-03,14.4
2019-10-04,9.0
2019-10-07,9.8
2019-10-08,4.4
2019-10-09,11.7
2019-10-10,11.1
2019-10-11,3.2
2019-10-14,8.6
2019-10-15,6.7
2019-10-16,9.5
2019-10-17,10.7
2019-10-18,10.0
2019-10-21,4.3
2019-10-22,7.6
2019-10-23,14.3
2019-10-24,0.4
2019-10-25,10.5
2019-10-28,4.8
2019-10-29,8.7
2019-10-30,-3.8
2019-10-31,6.2
2019-11-01,2.9
2019-11-04,13.6
2019-11-05,7.3
2019-11-06,8.2
2019-11-07,6.7
2019-11-08,2.1
2019-11-11,1.0
2019-11-12,7.7
2019-11-13,11.7
2019-11-14,7.6
2019-11-15,12.7
2019-11-18,5.3
2019-11-19,2.7
2019-11-20,-0.8
2019-11-21,-2.4
2019-11-22,6.9
2019-11-25,4.9
2019-11-26,-5.8
2019-11-27,-6.8
2019-11-29,-8.8
2019-12-02,6.0
2019-12-03,-4.9
2019-12-04,-8.0
2019-12-05,-10.8
2019-12-06,-17.7
2019-12-09,-10.7
2019-12-10,-20.6
2019-12-11,-22.5
2019-12-12,-32.1
2019-12-13,-23.1
2019-12-16,-18.5
2019-12-17,-25.2
2019-12-18,-30.1
2019-12-19,-29.7
2019-12-20,-34.0
2019-12-23,-33.4
2019-12-24,-23.7
2019-12-26,-26.8
2019-12-27,-18.4
2019-12-30,-36.5
2019-12-31,-32.6
