,SVM Portfolio 3-month Returns (%) gamma = 10
2019-10-01,7.0
2019-10-02,9.6
2019-10-03,9.0
2019-10-04,11.0
2019-10-07,11.2
2019-10-08,5.5
2019-10-09,6.3
2019-10-10,12.3
2019-10-11,5.5
2019-10-14,5.6
2019-10-15,8.2
2019-10-16,7.6
2019-10-17,5.6
2019-10-18,4.8
2019-10-21,6.8
2019-10-22,6.9
2019-10-23,9.8
2019-10-24,5.5
2019-10-25,10.3
2019-10-28,7.3
2019-10-29,10.8
2019-10-30,5.9
2019-10-31,1.4
2019-11-01,3.0
2019-11-04,3.0
2019-11-05,3.6
2019-11-06,3.8
2019-11-07,3.6
2019-11-08,6.3
2019-11-11,6.9
2019-11-12,4.8
2019-11-13,6.1
2019-11-14,7.1
2019-11-15,6.7
2019-11-18,3.7
2019-11-19,5.4
2019-11-20,4.2
2019-11-21,4.5
2019-11-22,5.5
2019-11-25,3.5
2019-11-26,4.8
2019-11-27,5.9
2019-11-29,-3.5
2019-12-02,-5.4
2019-12-03,-8.2
2019-12-04,-7.9
2019-12-05,-5.3
2019-12-06,-5.8
2019-12-09,-7.3
2019-12-10,-10.6
2019-12-11,-11.9
2019-12-12,-8.1
2019-12-13,-8.9
2019-12-16,-22.0
2019-12-17,-20.1
2019-12-18,-25.6
2019-12-19,-26.2
2019-12-20,-31.3
2019-12-23,-31.6
2019-12-24,-22.8
2019-12-26,-28.6
2019-12-27,-24.8
2019-12-30,-27.2
2019-12-31,-20.1
