,SVM Portfolio 3-month Returns (%) with lots of Data
2019-10-01,9.2
2019-10-02,12.1
2019-10-03,11.4
2019-10-04,15.3
2019-10-07,12.9
2019-10-08,12.5
2019-10-09,12.2
2019-10-10,14.4
2019-10-11,11.7
2019-10-14,12.9
2019-10-15,12.4
2019-10-16,8.1
2019-10-17,8.6
2019-10-18,7.9
2019-10-21,8.4
2019-10-22,8.2
2019-10-23,8.1
2019-10-24,7.7
2019-10-25,10.3
2019-10-28,8.2
2019-10-29,9.8
2019-10-30,7.5
2019-10-31,7.3
2019-11-01,8.2
2019-11-04,6.4
2019-11-05,6.5
2019-11-06,5.2
2019-11-07,6.6
2019-11-08,6.5
2019-11-11,6.4
2019-11-12,7.2
2019-11-13,6.6
2019-11-14,8.2
2019-11-15,8.5
2019-11-18,3.6
2019-11-19,7.1
2019-11-20,6.1
2019-11-21,4.6
2019-11-22,8.6
2019-11-25,5.8
2019-11-26,6.1
2019-11-27,1.4
2019-11-29,-2.7
2019-12-02,-6.3
2019-12-03,-8.0
2019-12-04,-7.2
2019-12-05,-4.0
2019-12-06,-8.5
2019-12-09,-6.3
2019-12-10,-11.1
2019-12-11,-14.2
2019-12-12,-15.7
2019-12-13,-14.1
2019-12-16,-25.6
2019-12-17,-22.5
2019-12-18,-27.0
2019-12-19,-23.1
2019-12-20,-28.3
2019-12-23,-29.1
2019-12-24,-25.9
2019-12-26,-29.7
2019-12-27,-24.3
2019-12-30,-22.5
