,SVM Portfolio 3-month Returns (%) with PE-Ratio
2019-10-01,15.8
2019-10-02,14.8
2019-10-03,16.0
2019-10-04,14.9
2019-10-07,14.5
2019-10-08,14.0
2019-10-09,9.8
2019-10-10,14.2
2019-10-11,12.9
2019-10-14,12.6
2019-10-15,13.5
2019-10-16,13.0
2019-10-17,11.6
2019-10-18,6.8
2019-10-21,7.9
2019-10-22,7.6
2019-10-23,9.5
2019-10-24,6.1
2019-10-25,6.9
2019-10-28,9.1
2019-10-29,7.4
2019-10-30,6.1
2019-10-31,6.5
2019-11-01,8.6
2019-11-04,4.2
2019-11-05,7.7
2019-11-06,5.4
2019-11-07,6.6
2019-11-08,7.7
2019-11-11,7.8
2019-11-12,7.2
2019-11-13,7.5
2019-11-14,7.3
2019-11-15,5.8
2019-11-18,6.6
2019-11-19,7.0
2019-11-20,5.3
2019-11-21,6.9
2019-11-22,7.5
2019-11-25,6.5
2019-11-26,5.1
2019-11-27,0.3
2019-11-29,-3.2
2019-12-02,-5.8
2019-12-03,-10.5
2019-12-04,-8.1
2019-12-05,-5.5
2019-12-06,-5.5
2019-12-09,-5.8
2019-12-10,-9.4
2019-12-11,-13.0
2019-12-12,-12.3
2019-12-13,-15.1
2019-12-16,-22.2
2019-12-17,-21.2
2019-12-18,-28.2
2019-12-19,-22.3
2019-12-20,-31.1
2019-12-23,-29.1
2019-12-24,-20.6
2019-12-26,-26.8
2019-12-27,-28.2
2019-12-30,-22.4
2019-12-31,-21.5
